,Tackles,Challenges,Blocks,,
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Yohei Takaoka,jp JPN,GK,28-224,33.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,3,Matches
Ranko Veselinović,rs SRB,DF,25-216,30.7,23,16,19,3,1,12,21,57.1,9,40,22,18,16,39,178,1,Matches
Ryan Gauld,sct SCO,FW,MF,28-315,27.3,60,34,12,33,15,23,46,50.0,23,31,0,31,7,67,12,1,Matches
Brian White,us USA,FW,28-266,27.2,13,7,3,4,6,4,12,33.3,8,17,4,13,8,21,45,0,Matches
Pedro Vite,ec ECU,MF,22-231,22.4,41,32,16,20,5,14,34,41.2,20,21,5,16,29,70,12,1,Matches
Mathías Laborda,uy URU,DF,25-041,21.7,38,25,31,6,1,23,46,50.0,23,28,10,18,32,70,65,1,Matches
Alessandro Schöpf,at AUT,MF,DF,30-262,21.5,23,17,11,9,3,10,28,35.7,18,21,3,18,18,41,22,0,Matches
Andrés Cubas,py PAR,MF,28-157,21.5,73,41,23,44,6,26,52,50.0,26,34,7,27,41,114,22,1,Matches
Tristan Blackmon,us USA,DF,28-075,21.0,11,8,8,3,0,5,6,83.3,1,18,10,8,20,31,88,0,Matches
Bjørn Inge Utvik,no NOR,DF,28-241,19.0,21,13,11,8,2,14,21,66.7,7,17,11,6,8,29,77,0,Matches
Sebastian Berhalter,us USA,MF,23-162,20.7,51,27,15,27,9,22,47,46.8,25,35,8,27,21,72,34,2,Matches
Fafà Picault,ht HAI,FW,MF,33-246,18.6,19,12,4,9,6,5,19,26.3,14,20,3,17,14,33,15,0,Matches
Ryan Raposo,ca CAN,DF,MF,25-235,17.6,33,17,22,7,4,17,23,73.9,6,16,10,6,19,52,22,0,Matches
Ali Ahmed,ca CAN,MF,DF,24-016,15.0,28,17,12,14,2,15,35,42.9,20,20,0,20,24,52,16,0,Matches
Javain Brown,jm JAM,DF,25-231,10.8,14,9,8,6,0,10,12,83.3,2,14,8,6,10,24,37,1,Matches
Luís Martins,pt POR,DF,MF,32-138,8.6,8,6,5,2,1,5,10,50.0,5,7,1,6,8,16,10,0,Matches
Sam Adekugbe,ca CAN,MF,FW,29-284,8.3,5,2,2,2,1,3,5,60.0,2,5,3,2,5,10,19,0,Matches
Levonte Johnson,ca CAN,FW,MF,25-225,7.4,8,7,7,1,0,4,7,57.1,3,6,0,6,2,10,2,0,Matches
Damir Kreilach,hr CRO,FW,35-193,5.2,1,1,0,1,0,1,3,33.3,2,2,0,2,3,4,6,0,Matches
Ralph Priso-Mbongue,ca CAN,MF,22-085,5.3,16,7,7,8,1,8,13,61.5,5,8,4,4,9,25,6,0,Matches
Belal Halbouni,sy SYR,DF,24-302,1.9,2,2,2,0,0,1,3,33.3,2,3,0,3,0,2,4,0,Matches
Édier Ocampo,co COL,DF,FW,21-023,2.0,4,3,2,2,0,2,2,100.0,0,0,0,0,3,7,2,0,Matches
Giuseppe Bovalina,au AUS,DF,FW,19-350,1.9,3,2,2,1,0,2,2,100.0,0,0,0,0,0,3,5,0,Matches
Stuart Armstrong,sct SCO,MF,FW,32-210,1.4,1,0,1,0,0,0,1,0.0,1,1,1,0,0,1,2,0,Matches
Deiber Caicedo,co COL,FW,DF,24-215,1.4,2,1,0,1,1,2,2,100.0,0,1,0,1,1,3,0,0,Matches
Isaac Boehmer,us USA,GK,22-341,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Nicolas Fleuriau,ca CAN,DF,FW,22-158,0.4,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,Matches
Jay Herdman,nz NZL,FW,20-073,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Cyprian Kachwele,tz TAN,MF,19-254,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,27.4,34.0,498,306,223,211,64,228,451,50.6,223,367,110,257,298,796,711,11,
Opponent Total,,,27.8,34.0,386,238,171,155,60,177,356,49.7,179,285,96,189,235,621,756,16,
