,SCA,SCA Types,GCA,GCA Types,
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Yohei Takaoka,jp JPN,GK,28-224,33.0,6,0.18,5,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
Ranko Veselinović,rs SRB,DF,25-216,30.7,13,0.42,12,1,0,0,0,0,3,0.10,2,1,0,0,0,0,Matches
Ryan Gauld,sct SCO,FW,MF,28-315,27.3,141,5.17,91,37,2,5,3,3,22,0.81,16,3,0,3,0,0,Matches
Brian White,us USA,FW,28-266,27.2,41,1.51,34,1,2,2,1,1,4,0.15,3,0,0,0,0,1,Matches
Pedro Vite,ec ECU,MF,22-231,22.4,49,2.19,43,1,1,0,3,1,4,0.18,4,0,0,0,0,0,Matches
Mathías Laborda,uy URU,DF,25-041,21.7,19,0.88,18,0,0,1,0,0,2,0.09,2,0,0,0,0,0,Matches
Alessandro Schöpf,at AUT,MF,DF,30-262,21.5,56,2.60,44,1,3,6,2,0,7,0.33,6,0,1,0,0,0,Matches
Andrés Cubas,py PAR,MF,28-157,21.5,21,0.98,21,0,0,0,0,0,4,0.19,4,0,0,0,0,0,Matches
Tristan Blackmon,us USA,DF,28-075,21.0,27,1.29,18,6,1,1,1,0,1,0.05,1,0,0,0,0,0,Matches
Bjørn Inge Utvik,no NOR,DF,28-241,19.0,19,1.00,17,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Sebastian Berhalter,us USA,MF,23-162,20.7,88,4.24,55,24,2,6,1,0,7,0.34,6,0,0,1,0,0,Matches
Fafà Picault,ht HAI,FW,MF,33-246,18.6,59,3.17,33,0,9,7,9,1,9,0.48,4,0,2,2,1,0,Matches
Ryan Raposo,ca CAN,DF,MF,25-235,17.6,56,3.18,37,11,1,2,4,1,5,0.28,3,1,1,0,0,0,Matches
Ali Ahmed,ca CAN,MF,DF,24-016,15.0,52,3.47,42,1,6,1,2,0,4,0.27,3,0,1,0,0,0,Matches
Javain Brown,jm JAM,DF,25-231,10.8,16,1.49,11,2,0,2,1,0,1,0.09,1,0,0,0,0,0,Matches
Luís Martins,pt POR,DF,MF,32-138,8.6,14,1.63,13,0,0,0,1,0,1,0.12,1,0,0,0,0,0,Matches
Sam Adekugbe,ca CAN,MF,FW,29-284,8.3,21,2.51,20,0,0,1,0,0,3,0.36,3,0,0,0,0,0,Matches
Levonte Johnson,ca CAN,FW,MF,25-225,7.4,15,2.02,10,0,2,1,2,0,2,0.27,2,0,0,0,0,0,Matches
Damir Kreilach,hr CRO,FW,35-193,5.2,5,0.96,2,0,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
Ralph Priso-Mbongue,ca CAN,MF,22-085,5.3,9,1.69,9,0,0,0,0,0,2,0.37,2,0,0,0,0,0,Matches
Belal Halbouni,sy SYR,DF,24-302,1.9,2,1.07,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Édier Ocampo,co COL,DF,FW,21-023,2.0,2,1.02,0,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
Giuseppe Bovalina,au AUS,DF,FW,19-350,1.9,5,2.60,3,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Stuart Armstrong,sct SCO,MF,FW,32-210,1.4,9,6.33,8,0,0,1,0,0,1,0.70,0,0,0,1,0,0,Matches
Deiber Caicedo,co COL,FW,DF,24-215,1.4,8,5.67,5,0,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
Isaac Boehmer,us USA,GK,22-341,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nicolas Fleuriau,ca CAN,DF,FW,22-158,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jay Herdman,nz NZL,FW,20-073,0.1,1,9.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Cyprian Kachwele,tz TAN,MF,19-254,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Squad Total,,,27.4,34.0,754,22.18,553,86,30,44,34,7,83,2.44,64,5,5,7,1,1,
Opponent Total,,,27.8,34.0,716,21.06,569,45,26,42,28,6,80,2.35,61,1,2,11,4,1,
