,Total,Short,Medium,Long,,Expected,,
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Yohei Takaoka,jp JPN,GK,28-224,33.0,718,978,73.4,20588,13814,132,132,100.0,357,359,99.4,227,481,47.2,0,0.1,0.0,-0.1,1,17,0,0,1,Matches
Ranko Veselinović,rs SRB,DF,25-216,30.7,1446,1577,91.7,30898,8275,239,263,90.9,1049,1081,97.0,156,218,71.6,1,0.1,0.6,+0.9,3,57,3,0,30,Matches
Ryan Gauld,sct SCO,FW,MF,28-315,27.3,920,1221,75.3,17277,5110,404,450,89.8,359,454,79.1,142,245,58.0,12,10.6,9.6,+1.4,82,114,59,14,176,Matches
Brian White,us USA,FW,28-266,27.2,337,496,67.9,4598,627,206,268,76.9,106,158,67.1,11,19,57.9,2,2.8,2.7,-0.8,21,11,9,2,27,Matches
Pedro Vite,ec ECU,MF,22-231,22.4,1112,1283,86.7,21838,6649,417,452,92.3,507,566,89.6,164,212,77.4,1,1.0,2.7,0.0,15,147,24,3,184,Matches
Mathías Laborda,uy URU,DF,25-041,21.7,1061,1260,84.2,20550,7038,344,379,90.8,606,670,90.4,109,183,59.6,0,0.7,1.1,-0.7,8,67,9,3,53,Matches
Alessandro Schöpf,at AUT,MF,DF,30-262,21.5,920,1031,89.2,15824,3482,423,458,92.4,401,429,93.5,77,95,81.1,1,2.0,2.5,-1.0,19,92,14,6,120,Matches
Andrés Cubas,py PAR,MF,28-157,21.5,922,1028,89.7,18460,5260,316,335,94.3,446,480,92.9,138,174,79.3,1,0.6,0.4,+0.4,1,84,3,0,77,Matches
Tristan Blackmon,us USA,DF,28-075,21.0,1189,1379,86.2,23981,9116,347,373,93.0,682,746,91.4,153,232,65.9,1,0.5,0.8,+0.5,10,89,2,1,81,Matches
Bjørn Inge Utvik,no NOR,DF,28-241,19.0,1070,1218,87.8,23384,8638,230,243,94.7,673,717,93.9,163,239,68.2,0,0.4,0.5,-0.4,6,104,2,1,80,Matches
Sebastian Berhalter,us USA,MF,23-162,20.7,775,1027,75.5,16483,5434,290,321,90.3,317,388,81.7,157,276,56.9,3,5.0,5.1,-2.0,46,106,37,16,111,Matches
Fafà Picault,ht HAI,FW,MF,33-246,18.6,431,562,76.7,6911,1300,224,261,85.8,162,206,78.6,32,54,59.3,5,3.6,2.8,+1.4,19,25,27,11,44,Matches
Ryan Raposo,ca CAN,DF,MF,25-235,17.6,558,734,76.0,9992,2306,243,287,84.7,243,289,84.1,60,118,50.8,4,2.3,3.7,+1.7,31,27,25,16,37,Matches
Ali Ahmed,ca CAN,MF,DF,24-016,15.0,543,678,80.1,8560,2458,287,318,90.3,217,258,84.1,28,50,56.0,0,2.8,2.2,-2.8,24,34,23,6,67,Matches
Javain Brown,jm JAM,DF,25-231,10.8,499,631,79.1,9694,3188,161,186,86.6,290,339,85.5,45,93,48.4,1,0.4,0.8,+0.6,5,34,9,6,31,Matches
Luís Martins,pt POR,DF,MF,32-138,8.6,389,490,79.4,7300,2400,142,160,88.8,201,232,86.6,41,76,53.9,1,0.8,1.0,+0.2,7,29,12,7,31,Matches
Sam Adekugbe,ca CAN,MF,FW,29-284,8.3,398,482,82.6,6336,1894,202,223,90.6,170,202,84.2,18,36,50.0,2,3.2,2.7,-1.2,14,24,19,9,39,Matches
Levonte Johnson,ca CAN,FW,MF,25-225,7.4,117,152,77.0,1763,352,66,74,89.2,46,60,76.7,3,5,60.0,0,0.5,0.4,-0.5,4,6,4,1,11,Matches
Damir Kreilach,hr CRO,FW,35-193,5.2,104,128,81.3,1363,178,61,72,84.7,30,35,85.7,3,4,75.0,0,0.0,0.1,0.0,2,6,0,0,6,Matches
Ralph Priso-Mbongue,ca CAN,MF,22-085,5.3,196,232,84.5,3363,762,90,97,92.8,81,89,91.0,18,28,64.3,1,0.1,0.1,+0.9,2,20,2,0,21,Matches
Belal Halbouni,sy SYR,DF,24-302,1.9,109,120,90.8,1935,726,43,47,91.5,60,63,95.2,5,9,55.6,0,0.0,0.0,0.0,0,15,0,0,9,Matches
Édier Ocampo,co COL,DF,FW,21-023,2.0,43,58,74.1,732,140,25,27,92.6,13,19,68.4,4,7,57.1,0,0.0,0.1,0.0,0,2,1,1,1,Matches
Giuseppe Bovalina,au AUS,DF,FW,19-350,1.9,36,55,65.5,651,210,18,23,78.3,10,16,62.5,7,10,70.0,0,0.0,0.2,0.0,1,1,0,0,2,Matches
Stuart Armstrong,sct SCO,MF,FW,32-210,1.4,70,82,85.4,1150,338,39,42,92.9,23,28,82.1,7,7,100.0,0,0.6,0.3,-0.6,5,8,5,2,10,Matches
Deiber Caicedo,co COL,FW,DF,24-215,1.4,41,50,82.0,647,135,21,23,91.3,17,22,77.3,2,2,100.0,0,0.0,0.1,0.0,0,3,1,0,9,Matches
Isaac Boehmer,us USA,GK,22-341,1.0,17,36,47.2,559,416,3,3,100.0,9,9,100.0,5,23,21.7,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Nicolas Fleuriau,ca CAN,DF,FW,22-158,0.4,4,7,57.1,52,12,3,3,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Jay Herdman,nz NZL,FW,20-073,0.1,8,9,88.9,135,16,3,3,100.0,5,5,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Cyprian Kachwele,tz TAN,MF,19-254,0.0,1,2,50.0,6,6,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,27.4,34.0,14034,17006,82.5,275030,90280,4980,5524,90.2,7081,7922,89.4,1775,2896,61.3,36,37.6,40.4,-1.6,326,1122,290,105,1258,
Opponent Total,,,27.8,34.0,15811,18788,84.2,281962,95480,7031,7725,91.0,6937,7783,89.1,1525,2477,61.6,32,32.2,38.3,-0.2,316,1166,323,67,1436,
