,Playing Time,Starts,Subs,Team Success,Team Success (xG),
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Yohei Takaoka,jp JPN,GK,28-224,33,2,970,90,97.1,33.0,33,90,33,0,,1,1.47,51,47,+4,+0.12,+1.12,48.1,43.5,+4.7,+0.14,-0.04,Matches
Ranko Veselinović,rs SRB,DF,25-216,32,2,764,86,90.3,30.7,31,89,28,1,7,2,1.39,46,45,+1,+0.03,-0.58,43.5,40.6,+2.9,+0.10,-0.49,Matches
Ryan Gauld,sct SCO,FW,MF,28-315,30,2,455,82,80.2,27.3,28,85,17,2,40,0,1.55,45,36,+9,+0.33,+1.22,39.0,36.2,+2.9,+0.11,-0.19,Matches
Brian White,us USA,FW,28-266,30,2,450,82,80.1,27.2,28,85,17,2,29,0,1.29,42,40,+2,+0.07,-0.07,37.7,36.9,+0.9,+0.03,-0.56,Matches
Pedro Vite,ec ECU,MF,22-231,28,2,019,72,66.0,22.4,23,80,11,5,37,3,1.45,33,37,-4,-0.18,-0.78,30.9,31.3,-0.4,-0.02,-0.47,Matches
Mathías Laborda,uy URU,DF,25-041,26,1,953,75,63.8,21.7,23,82,15,3,22,6,1.63,35,32,+3,+0.14,+0.14,29.0,31.3,-2.4,-0.11,-0.70,Matches
Alessandro Schöpf,at AUT,MF,DF,30-262,30,1,938,65,63.3,21.5,23,75,4,7,30,1,1.48,37,29,+8,+0.37,+0.77,34.0,27.1,+6.9,+0.32,+0.48,Matches
Andrés Cubas,py PAR,MF,28-157,24,1,931,80,63.1,21.5,23,82,14,1,34,0,1.56,32,29,+3,+0.14,+0.14,30.4,28.2,+2.2,+0.10,-0.11,Matches
Tristan Blackmon,us USA,DF,28-075,25,1,886,75,61.6,21.0,21,87,19,4,15,4,1.31,25,30,-5,-0.24,-0.85,29.1,26.9,+2.2,+0.11,-0.09,Matches
Bjørn Inge Utvik,no NOR,DF,28-241,23,1,707,74,55.8,19.0,19,86,16,4,18,9,1.61,34,23,+11,+0.58,+1.11,30.4,21.7,+8.7,+0.46,+0.72,Matches
Sebastian Berhalter,us USA,MF,23-162,31,1,866,60,61.0,20.7,18,89,13,13,21,3,1.44,34,34,0,0.00,-0.23,32.2,25.5,+6.6,+0.32,+0.45,Matches
Fafà Picault,ht HAI,FW,MF,33-246,29,1,675,58,54.7,18.6,18,78,8,11,25,0,1.53,34,27,+7,+0.38,+0.64,30.8,23.1,+7.7,+0.42,+0.60,Matches
Ryan Raposo,ca CAN,DF,MF,25-235,30,1,584,53,51.8,17.6,18,69,1,12,29,3,1.42,26,23,+3,+0.17,+0.17,22.7,21.9,+0.8,+0.05,-0.20,Matches
Ali Ahmed,ca CAN,MF,DF,24-016,22,1,350,61,44.1,15.0,15,79,6,7,23,0,1.55,20,23,-3,-0.20,-0.52,23.6,19.6,+3.9,+0.26,+0.21,Matches
Javain Brown,jm JAM,DF,25-231,16,968,61,31.6,10.8,11,79,5,5,19,5,1.56,13,12,+1,+0.09,+0.01,11.9,12.8,-0.9,-0.09,-0.34,Matches
Luís Martins,pt POR,DF,MF,32-138,16,774,48,25.3,8.6,9,67,1,7,24,5,1.56,15,14,+1,+0.12,+0.04,11.3,11.4,-0.2,-0.02,-0.22,Matches
Sam Adekugbe,ca CAN,MF,FW,29-284,16,751,47,24.5,8.3,8,70,2,8,24,0,1.35,11,14,-3,-0.36,-0.59,15.5,13.9,+1.6,+0.19,+0.06,Matches
Levonte Johnson,ca CAN,FW,MF,25-225,25,669,27,21.9,7.4,7,68,0,18,11,6,1.27,14,13,+1,+0.13,+0.06,11.6,11.2,+0.4,+0.05,-0.12,Matches
Damir Kreilach,hr CRO,FW,35-193,17,468,28,15.3,5.2,6,62,0,11,9,9,1.50,7,7,0,0.00,-0.10,6.7,5.5,+1.2,+0.23,+0.10,Matches
