,Touches,Take-Ons,Carries,Receiving,
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Yohei Takaoka,jp JPN,GK,28-224,33.0,1035,892,1024,11,0,0,1035,2,2,100.0,0,0.0,593,2837,1372,0,0,0,1,1,553,0,Matches
Ranko Veselinović,rs SRB,DF,25-216,30.7,1874,428,1194,628,57,36,1874,3,1,33.3,0,0.0,1156,5620,2668,5,6,1,11,3,1373,8,Matches
Ryan Gauld,sct SCO,FW,MF,28-315,27.3,1464,10,118,668,699,74,1462,37,20,54.1,14,37.8,795,3592,1781,41,45,5,47,21,1002,147,Matches
Brian White,us USA,FW,28-266,27.2,748,53,69,328,354,120,748,13,6,46.2,6,46.2,358,1121,361,13,11,9,61,21,538,121,Matches
Pedro Vite,ec ECU,MF,22-231,22.4,1468,37,299,900,287,12,1468,31,12,38.7,15,48.4,904,3799,1684,24,31,1,26,14,1075,49,Matches
Mathías Laborda,uy URU,DF,25-041,21.7,1481,131,741,584,164,36,1481,6,2,33.3,4,66.7,808,3384,1745,10,14,1,22,3,953,26,Matches
Alessandro Schöpf,at AUT,MF,DF,30-262,21.5,1229,39,203,688,355,33,1229,34,17,50.0,15,44.1,753,4359,2035,58,40,6,31,27,871,63,Matches
Andrés Cubas,py PAR,MF,28-157,21.5,1228,57,331,845,64,2,1228,13,4,30.8,8,61.5,710,2938,858,4,9,1,14,9,784,2,Matches
Tristan Blackmon,us USA,DF,28-075,21.0,1559,137,736,700,131,30,1559,3,2,66.7,1,33.3,877,3544,1834,12,9,1,8,4,1073,12,Matches
Bjørn Inge Utvik,no NOR,DF,28-241,19.0,1374,130,627,684,67,26,1374,3,2,66.7,1,33.3,862,3790,2065,7,4,0,7,0,975,4,Matches
Sebastian Berhalter,us USA,MF,23-162,20.7,1266,55,244,609,420,34,1266,17,7,41.2,10,58.8,611,2650,1376,23,40,3,24,20,783,70,Matches
Fafà Picault,ht HAI,FW,MF,33-246,18.6,804,20,77,339,398,89,803,68,31,45.6,32,47.1,515,3309,1113,43,19,20,56,14,607,152,Matches
Ryan Raposo,ca CAN,DF,MF,25-235,17.6,919,46,189,349,387,50,919,34,13,38.2,18,52.9,510,2606,1095,34,22,10,24,6,620,150,Matches
Ali Ahmed,ca CAN,MF,DF,24-016,15.0,854,25,119,360,392,50,854,51,29,56.9,17,33.3,551,3778,2051,73,40,23,33,21,600,147,Matches
Javain Brown,jm JAM,DF,25-231,10.8,726,49,295,292,143,12,726,7,3,42.9,2,28.6,383,1474,769,5,6,1,4,2,461,35,Matches
Luís Martins,pt POR,DF,MF,32-138,8.6,545,21,152,269,130,7,545,4,1,25.0,3,75.0,322,1193,617,14,10,1,8,8,386,38,Matches
Sam Adekugbe,ca CAN,MF,FW,29-284,8.3,552,20,71,263,219,26,552,7,3,42.9,1,14.3,357,1723,868,31,19,4,15,1,446,94,Matches
Levonte Johnson,ca CAN,FW,MF,25-225,7.4,253,4,28,103,126,26,253,23,5,21.7,15,65.2,163,849,375,14,11,4,29,22,178,52,Matches
Damir Kreilach,hr CRO,FW,35-193,5.2,169,7,16,92,62,23,169,0,0,,0,,68,203,55,0,2,0,9,2,124,12,Matches
Ralph Priso-Mbongue,ca CAN,MF,22-085,5.3,290,12,69,184,42,2,290,3,3,100.0,0,0.0,142,678,254,4,9,0,6,3,181,5,Matches
Belal Halbouni,sy SYR,DF,24-302,1.9,135,8,40,85,12,5,135,4,4,100.0,0,0.0,80,511,347,3,2,0,0,1,100,1,Matches
Édier Ocampo,co COL,DF,FW,21-023,2.0,88,3,11,36,42,8,88,9,3,33.3,5,55.6,57,429,188,8,5,2,6,2,66,18,Matches
Giuseppe Bovalina,au AUS,DF,FW,19-350,1.9,78,5,15,31,35,9,78,3,2,66.7,1,33.3,38,194,72,3,2,0,3,1,46,16,Matches
Stuart Armstrong,sct SCO,MF,FW,32-210,1.4,103,3,8,46,49,8,103,10,4,40.0,6,60.0,53,278,128,3,3,0,1,0,79,11,Matches
Deiber Caicedo,co COL,FW,DF,24-215,1.4,72,0,2,23,47,15,72,5,2,40.0,3,60.0,45,253,157,9,4,5,5,2,51,17,Matches
Isaac Boehmer,us USA,GK,22-341,1.0,38,30,38,0,0,0,38,0,0,,0,,21,71,43,0,0,0,0,0,15,0,Matches
Nicolas Fleuriau,ca CAN,DF,FW,22-158,0.4,15,0,1,7,7,3,15,1,1,100.0,0,0.0,6,73,56,1,1,1,2,1,8,1,Matches
Jay Herdman,nz NZL,FW,20-073,0.1,10,0,1,6,3,0,10,0,0,,0,,9,39,19,0,1,0,0,0,9,0,Matches
Cyprian Kachwele,tz TAN,MF,19-254,0.0,2,0,0,1,1,0,2,0,0,,0,,1,0,0,0,0,0,0,0,2,0,Matches
Squad Total,,,27.4,34.0,20379,2222,6718,9131,4693,736,20376,391,179,45.8,177,45.3,11748,55295,25986,442,365,99,453,209,13959,1251,
Opponent Total,,,27.8,34.0,22062,2179,7607,9461,5131,788,22056,484,223,46.1,228,47.1,13369,62732,31670,576,400,173,438,270,15661,1424,
