Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2024-03-02,16:30,MLS,Regular Season,Sat,Home,D,1,1,Charlotte,1.0,1.3,49,29,624,Ryan Gauld,4-3-3,4-2-3-1,,Match Report,
2024-03-09,19:30,MLS,Regular Season,Sat,Away,W,2,0,SJ Earthquakes,0.7,0.6,40,16,045,Ryan Gauld,3-4-3,4-2-3-1,,Match Report,
2024-03-16,19:30 (17:30),MLS,Regular Season,Sat,Away,W,3,1,FC Dallas,1.2,1.0,42,19,096,Ryan Gauld,3-4-3,4-2-3-1,,Match Report,
2024-03-23,16:30,MLS,Regular Season,Sat,Home,L,1,2,Real Salt Lake,0.6,0.9,46,22,178,Ryan Gauld,3-4-3,4-2-3-1,,Match Report,
2024-03-30,19:30,MLS,Regular Season,Sat,Home,W,3,2,Portland Timbers,2.4,1.1,44,24,693,Ryan Gauld,3-4-3,4-2-3-1,,Match Report,
2024-04-06,16:30,MLS,Regular Season,Sat,Home,W,4,0,Toronto FC,2.5,0.7,50,24,678,Ryan Gauld,3-4-3,3-4-3,,Match Report,
2024-04-13,19:30,MLS,Regular Season,Sat,Home,L,1,3,LA Galaxy,2.4,2.4,40,25,026,Ryan Gauld,3-4-3◆,4-3-3,,Match Report,
2024-04-20,19:30,MLS,Regular Season,Sat,Away,W,2,0,Seattle Sounders FC,2.0,0.6,63,30,550,Ryan Gauld,3-4-3,4-2-3-1,,Match Report,
2024-04-27,19:30 (16:30),MLS,Regular Season,Sat,Away,D,1,1,NY Red Bulls,1.0,1.2,41,17,525,Ryan Gauld,3-4-3,4-4-2,,Match Report,
2024-05-04,19:30,MLS,Regular Season,Sat,Home,D,0,0,Austin,1.2,0.3,65,32,465,Ryan Gauld,3-4-3,4-2-3-1,,Match Report,
2024-05-11,19:30,MLS,Regular Season,Sat,Away,L,0,3,LAFC,0.4,3.8,46,22,099,Ryan Gauld,3-4-3,4-3-3,,Match Report,
2024-05-15,19:30 (18:30),MLS,Regular Season,Wed,Away,L,0,1,Colorado Rapids,0.7,2.4,43,11,190,Ryan Gauld,3-4-3,4-2-3-1,,Match Report,
2024-05-18,19:30,MLS,Regular Season,Sat,Away,D,1,1,Seattle Sounders FC,1.0,1.0,48,30,102,Ryan Gauld,3-4-3,4-2-3-1,,Match Report,
2024-05-25,19:30,MLS,Regular Season,Sat,Home,L,1,2,Inter Miami,2.2,1.3,51,51,035,Ryan Gauld,3-4-3,4-3-3,,Match Report,
