,Standard,Expected,
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Yohei Takaoka,jp JPN,GK,28-224,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ranko Veselinović,rs SRB,DF,25-216,30.7,2,12,3,25.0,0.39,0.10,0.17,0.67,10.5,0,0,0,1.0,1.0,0.08,+1.0,+1.0,Matches
Ryan Gauld,sct SCO,FW,MF,28-315,27.3,10,48,20,41.7,1.76,0.73,0.17,0.40,19.2,3,2,2,7.5,5.9,0.13,+2.5,+2.1,Matches
Brian White,us USA,FW,28-266,27.2,15,70,27,38.6,2.57,0.99,0.21,0.56,11.4,0,0,0,12.8,12.8,0.18,+2.2,+2.2,Matches
Pedro Vite,ec ECU,MF,22-231,22.4,1,25,8,32.0,1.11,0.36,0.04,0.13,22.4,1,0,0,1.4,1.4,0.06,-0.4,-0.4,Matches
Mathías Laborda,uy URU,DF,25-041,21.7,2,21,4,19.0,0.97,0.18,0.10,0.50,10.8,0,0,0,2.4,2.4,0.11,-0.4,-0.4,Matches
Alessandro Schöpf,at AUT,MF,DF,30-262,21.5,1,32,9,28.1,1.49,0.42,0.03,0.11,21.7,0,0,0,1.9,1.9,0.06,-0.9,-0.9,Matches
Andrés Cubas,py PAR,MF,28-157,21.5,0,6,1,16.7,0.28,0.05,0.00,0.00,28.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Tristan Blackmon,us USA,DF,28-075,21.0,0,9,1,11.1,0.43,0.05,0.00,0.00,11.0,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches
Bjørn Inge Utvik,no NOR,DF,28-241,19.0,0,12,4,33.3,0.63,0.21,0.00,0.00,10.0,0,0,0,1.3,1.3,0.11,-1.3,-1.3,Matches
Sebastian Berhalter,us USA,MF,23-162,20.7,2,32,7,21.9,1.54,0.34,0.06,0.29,22.5,5,0,0,1.8,1.8,0.06,+0.2,+0.2,Matches
Fafà Picault,ht HAI,FW,MF,33-246,18.6,9,46,19,41.3,2.47,1.02,0.20,0.47,13.7,1,0,1,9.4,8.6,0.19,-0.4,+0.4,Matches
Ryan Raposo,ca CAN,DF,MF,25-235,17.6,3,16,6,37.5,0.91,0.34,0.19,0.50,13.8,0,0,0,1.7,1.7,0.11,+1.3,+1.3,Matches
Ali Ahmed,ca CAN,MF,DF,24-016,15.0,1,16,4,25.0,1.07,0.27,0.06,0.25,16.9,1,0,0,1.0,1.0,0.06,0.0,0.0,Matches
Javain Brown,jm JAM,DF,25-231,10.8,0,9,4,44.4,0.84,0.37,0.00,0.00,11.0,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Luís Martins,pt POR,DF,MF,32-138,8.6,0,4,1,25.0,0.47,0.12,0.00,0.00,24.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Sam Adekugbe,ca CAN,MF,FW,29-284,8.3,1,9,3,33.3,1.08,0.36,0.11,0.33,13.3,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches
Levonte Johnson,ca CAN,FW,MF,25-225,7.4,0,13,3,23.1,1.75,0.40,0.00,0.00,16.4,0,0,0,1.3,1.3,0.10,-1.3,-1.3,Matches
Damir Kreilach,hr CRO,FW,35-193,5.2,2,13,7,53.8,2.50,1.35,0.15,0.29,9.0,0,0,0,2.5,2.5,0.20,-0.5,-0.5,Matches
Ralph Priso-Mbongue,ca CAN,MF,22-085,5.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Belal Halbouni,sy SYR,DF,24-302,1.9,0,4,0,0.0,2.14,0.00,0.00,,15.1,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
Édier Ocampo,co COL,DF,FW,21-023,2.0,0,5,3,60.0,2.54,1.53,0.00,0.00,17.6,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Giuseppe Bovalina,au AUS,DF,FW,19-350,1.9,0,8,3,37.5,4.16,1.56,0.00,0.00,18.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Stuart Armstrong,sct SCO,MF,FW,32-210,1.4,1,4,1,25.0,2.81,0.70,0.25,1.00,23.9,0,0,0,0.4,0.4,0.11,+0.6,+0.6,Matches
Deiber Caicedo,co COL,FW,DF,24-215,1.4,0,8,2,25.0,5.71,1.43,0.00,0.00,17.8,1,0,0,0.8,0.8,0.10,-0.8,-0.8,Matches
Isaac Boehmer,us USA,GK,22-341,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Nicolas Fleuriau,ca CAN,DF,FW,22-158,0.4,0,2,0,0.0,4.50,0.00,0.00,,9.8,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
Jay Herdman,nz NZL,FW,20-073,0.1,0,1,0,0.0,9.00,0.00,0.00,,29.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Cyprian Kachwele,tz TAN,MF,19-254,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.4,34.0,50,425,140,32.9,12.50,4.12,0.11,0.34,16.0,12,2,3,49.4,47.1,0.11,+0.6,+0.9,
Opponent Total,,,27.8,34.0,47,402,132,32.8,11.82,3.88,0.10,0.32,17.0,13,5,6,44.6,40.4,0.10,+2.4,+1.6,
