,Playing Time,Performance,Expected,Progression,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Yohei Takaoka,jp JPN,GK,28-224,33,33,2,970,33.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ranko Veselinović,rs SRB,DF,25-216,32,31,2,764,30.7,2,1,3,2,0,0,4,0,1.0,1.0,0.1,1.1,5,30,8,0.07,0.03,0.10,0.07,0.10,0.03,0.00,0.04,0.03,0.04,Matches
Ryan Gauld,sct SCO,FW,MF,28-315,30,28,2,455,27.3,10,12,22,8,2,2,3,0,7.5,5.9,10.6,16.5,41,176,147,0.37,0.44,0.81,0.29,0.73,0.27,0.39,0.66,0.22,0.60,Matches
Brian White,us USA,FW,28-266,30,28,2,450,27.2,15,2,17,15,0,0,5,0,12.8,12.8,2.8,15.5,13,27,121,0.55,0.07,0.62,0.55,0.62,0.47,0.10,0.57,0.47,0.57,Matches
Pedro Vite,ec ECU,MF,22-231,28,23,2,019,22.4,1,1,2,1,0,0,3,0,1.4,1.4,1.0,2.4,24,184,49,0.04,0.04,0.09,0.04,0.09,0.06,0.05,0.11,0.06,0.11,Matches
Mathías Laborda,uy URU,DF,25-041,26,23,1,953,21.7,2,0,2,2,0,0,3,0,2.4,2.4,0.7,3.1,10,53,26,0.09,0.00,0.09,0.09,0.09,0.11,0.03,0.14,0.11,0.14,Matches
Alessandro Schöpf,at AUT,MF,DF,30-262,30,23,1,938,21.5,1,1,2,1,0,0,6,1,1.9,1.9,2.0,3.9,58,120,63,0.05,0.05,0.09,0.05,0.09,0.09,0.09,0.18,0.09,0.18,Matches
Andrés Cubas,py PAR,MF,28-157,24,23,1,931,21.5,0,1,1,0,0,0,7,0,0.2,0.2,0.6,0.7,4,77,2,0.00,0.05,0.05,0.00,0.05,0.01,0.03,0.03,0.01,0.03,Matches
Tristan Blackmon,us USA,DF,28-075,25,21,1,886,21.0,0,1,1,0,0,0,4,0,0.8,0.8,0.5,1.3,12,81,12,0.00,0.05,0.05,0.00,0.05,0.04,0.02,0.06,0.04,0.06,Matches
Bjørn Inge Utvik,no NOR,DF,28-241,23,19,1,707,19.0,0,0,0,0,0,0,1,1,1.3,1.3,0.4,1.7,7,80,4,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
Sebastian Berhalter,us USA,MF,23-162,31,18,1,866,20.7,2,3,5,2,0,0,5,0,1.8,1.8,5.0,6.8,23,111,70,0.10,0.14,0.24,0.10,0.24,0.09,0.24,0.33,0.09,0.33,Matches
Fafà Picault,ht HAI,FW,MF,33-246,29,18,1,675,18.6,9,5,14,9,0,1,8,1,9.4,8.6,3.6,12.3,43,44,152,0.48,0.27,0.75,0.48,0.75,0.51,0.20,0.70,0.46,0.66,Matches
Ryan Raposo,ca CAN,DF,MF,25-235,30,18,1,584,17.6,3,4,7,3,0,0,3,0,1.7,1.7,2.3,4.1,34,37,150,0.17,0.23,0.40,0.17,0.40,0.10,0.13,0.23,0.10,0.23,Matches
Ali Ahmed,ca CAN,MF,DF,24-016,22,15,1,350,15.0,1,0,1,1,0,0,3,0,1.0,1.0,2.8,3.8,73,67,147,0.07,0.00,0.07,0.07,0.07,0.07,0.19,0.25,0.07,0.25,Matches
Javain Brown,jm JAM,DF,25-231,16,11,968,10.8,0,1,1,0,0,0,1,0,0.4,0.4,0.4,0.8,5,31,35,0.00,0.09,0.09,0.00,0.09,0.04,0.04,0.07,0.04,0.07,Matches
Luís Martins,pt POR,DF,MF,32-138,16,9,774,8.6,0,1,1,0,0,0,0,0,0.1,0.1,0.8,0.9,14,31,38,0.00,0.12,0.12,0.00,0.12,0.01,0.10,0.11,0.01,0.11,Matches
