,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Sebastián Driussi,10,ar ARG,FW,28-204,90,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,50.0
Owen Wolff,33,us USA,LW,19-245,66,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0
Gyasi Zardes,9,us USA,LW,32-364,24,0,0,0,0,0,1,1,0,1,0,0,0,1,0,2,0.0
Osman Bukari,7,gh GHA,RW,25-262,89,1,0,0,1,0,0,4,0,0,0,0,0,4,0,0,
Ethan Finlay,13,us USA,RW,34-025,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Jon Gallagher,17,ie IRL,LM,28-190,90,0,0,0,1,0,1,3,0,0,0,0,0,0,0,4,0.0
Daniel Pereira,6,ve VEN,CM,24-048,90,0,0,0,1,1,0,1,0,0,0,0,0,6,0,0,
Alexander Ring,8,fi FIN,RM,33-144,90,0,0,0,2,0,0,12,0,1,0,0,0,2,0,1,0.0
Guilherme Biro,29,br BRA,LB,24-122,90,1,0,0,0,3,0,2,0,0,0,0,0,5,1,3,25.0
Matt Hedges,2,us USA,CB,34-152,78,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,50.0
Diego Rubio,14,cl CHI,CB,31-108,12,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,100.0
Brendan Hines-Ike,4,us USA,CB,29-275,66,0,0,0,0,1,0,0,1,0,0,0,0,1,0,4,0.0
Julio Cascante,18,cr CRC,CB,30-333,24,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,66.7
Mikkel Desler,3,dk DEN,RB,29-194,78,0,0,0,3,1,0,1,1,0,0,0,0,3,2,0,100.0
Jáder Obrian,11,co COL,RB,29-105,12,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,100.0
Brad Stuver,1,us USA,GK,33-137,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
16 Players,,,,,990,3,0,0,12,10,2,26,3,3,0,0,0,27,9,18,33.3
