,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Ryan Gauld,25,sct SCO,FW,28-259,89,0,0,0,0,1,0,7,0,3,0,0,0,1,0,0,
Damir Kreilach,19,hr CRO,FW,35-137,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
Fafà Picault,11,ht HAI,FW,33-190,90,1,0,0,3,2,0,1,1,1,0,0,0,2,4,2,66.7
Ali Ahmed,22,ca CAN,LW,23-326,89,0,0,0,0,3,0,1,1,2,0,0,0,12,0,1,0.0
Giuseppe Bovalina,27,au AUS,LW,19-294,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Ryan Raposo,7,ca CAN,RW,25-179,62,0,0,0,2,0,0,3,0,0,0,0,0,3,0,0,
Alessandro Schöpf,8,at AUT,RW,30-206,28,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,
Pedro Vite,45,ec ECU,CM,22-175,90,1,0,0,1,2,0,1,1,0,0,0,0,4,3,0,100.0
Sebastian Berhalter,16,us USA,CM,23-106,84,0,0,0,2,1,0,8,0,0,0,0,0,4,1,0,100.0
Belal Halbouni,12,sy SYR,CM,24-246,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Andrés Cubas,20,py PAR,DM,28-101,90,0,0,0,1,0,0,1,1,1,0,0,0,2,0,0,
Bjørn Inge Utvik,15,no NOR,CB,28-185,81,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,50.0
Tristan Blackmon,6,us USA,CB,28-019,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Ranko Veselinović,4,rs SRB,CB,25-160,90,0,0,0,0,1,1,0,0,1,0,0,0,2,1,2,33.3
Mathías Laborda,2,uy URU,CB,24-351,90,0,0,0,1,0,0,1,0,1,0,0,0,2,4,1,80.0
Yohei Takaoka,1,jp JPN,GK,28-168,90,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,100.0
16 Players,,,,,990,3,0,0,10,12,1,23,4,11,0,0,0,34,18,9,66.7
