,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Josef Martínez,17,ve VEN,FW,AM,31-048,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Ariel Lassiter,11,cr CRC,AM,29-283,60,0,0,0,1,0,0,2,0,0,0,0,0,2,0,1,0.0
Matías Cóccaro,9,uy URU,FW,AM,26-234,30,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,100.0
Dominik Yankov,8,bg BUL,AM,23-344,45,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,
Sunusi Ibrahim,14,ng NGA,AM,WB,21-279,45,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
Nathan-Dylan Saliba,19,ca CAN,CM,19-312,90,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,66.7
Victor Wanyama,2,ke KEN,CM,33-011,60,0,0,0,1,2,0,0,0,1,0,0,0,5,1,0,100.0
Bryce Duke,10,us USA,CM,23-129,30,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,
Raheem Edwards,44,ca CAN,WB,CB,28-357,90,1,0,0,1,0,0,4,0,0,0,0,0,6,0,1,0.0
Lassi Lappalainen,21,fi FIN,WB,25-317,65,0,0,0,0,1,0,3,0,0,0,0,0,3,1,1,50.0
Ruan,22,br BRA,WB,29-038,25,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,
Joaquin Sosa,3,uy URU,CB,22-178,90,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,75.0
Fernando Álvarez,4,co COL,CB,20-317,90,0,0,0,0,0,0,0,2,0,0,0,0,3,5,4,55.6
George Campbell,24,us USA,CB,23-014,74,0,0,0,1,1,0,1,1,1,0,0,0,7,4,0,100.0
Jules-Anthony Vilsaint,28,ca CAN,AM,CB,21-182,16,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
Jonathan Sirois,40,ca CAN,GK,23-009,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
16 Players,,,,,990,1,0,0,6,5,1,20,3,3,0,0,0,39,18,10,64.3
