,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Brian White,24,us USA,FW,28-154,79,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,37.5
Nicolas Fleuriau,52,ca CAN,FW,22-046,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Fafà Picault,11,ht HAI,LW,FW,33-134,79,0,0,0,0,1,0,4,0,0,0,0,0,2,0,3,0.0
Levonte Johnson,28,ca CAN,FW,25-113,11,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,33.3
Ryan Gauld,25,sct SCO,RW,28-203,63,0,0,0,1,2,0,4,0,1,0,0,0,2,0,1,0.0
Mathías Laborda,2,uy URU,CB,24-295,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Alessandro Schöpf,8,at AUT,LM,CM,30-150,79,0,0,0,0,0,0,0,2,1,0,0,0,6,1,1,50.0
Ralph Priso-Mbongue,13,ca CAN,CM,21-339,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Andrés Cubas,20,py PAR,CM,28-045,90,0,0,0,3,1,0,0,3,2,0,0,0,4,0,0,
Sebastian Berhalter,16,us USA,CM,23-050,90,0,0,0,0,0,0,4,2,4,0,0,0,4,1,0,100.0
Ryan Raposo,7,ca CAN,RM,WB,25-123,90,1,0,0,0,1,0,2,1,1,0,0,0,1,0,2,0.0
Bjørn Inge Utvik,15,no NOR,CB,28-129,90,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,50.0
Ranko Veselinović,4,rs SRB,CB,25-104,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,50.0
Javain Brown,23,jm JAM,CB,WB,25-119,70,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,50.0
Giuseppe Bovalina,27,au AUS,WB,19-238,20,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
Yohei Takaoka,1,jp JPN,GK,28-112,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
16 Players,,,,,990,1,0,0,5,6,0,15,10,11,0,0,0,31,10,18,35.7
