,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Rafael Navarro,9,br BRA,FW,24-031,80,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,33.3
Darren Yapi,77,us USA,FW,19-178,10,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0.0
Omir Fernandez,11,us USA,LW,25-097,80,0,0,0,0,1,0,0,1,0,0,0,0,6,0,1,0.0
Jonathan Lewis,7,us USA,LW,26-346,10,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,
Kevin Cabral,91,fr FRA,RW,24-310,61,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,
Calvin Harris,14,eng ENG,RW,24-056,29,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
Djordje Mihailovic,10,us USA,AM,25-187,70,0,0,0,1,1,0,9,1,1,0,0,0,2,0,0,
Jasper Löffelsend,21,de GER,AM,26-248,20,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0.0
Cole Bassett,23,us USA,DM,22-292,90,0,0,0,1,1,0,2,1,0,0,0,0,2,1,2,33.3
Oliver Larraz,18,us USA,DM,22-242,61,0,0,0,2,0,0,0,2,2,0,0,0,1,1,0,100.0
Connor Ronan,20,ie IRL,DM,26-070,29,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,
Sam Vines,3,us USA,LB,24-350,90,0,0,0,0,0,0,4,0,2,0,0,0,3,0,0,
Andreas Maxsø,5,dk DEN,CB,30-058,90,0,0,0,1,0,0,0,2,0,0,0,0,0,2,5,28.6
Moïse Bombito,64,ca CAN,CB,24-046,90,0,0,0,0,1,0,0,1,0,0,0,0,6,3,0,100.0
Keegan Rosenberry,2,us USA,RB,30-156,90,0,0,0,0,1,0,0,1,0,0,0,0,8,0,0,
Zack Steffen,95,us USA,GK,29-043,90,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
16 Players,,,,,990,0,0,0,5,8,3,20,10,8,0,0,0,44,8,12,40.0
