,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Brian White,24,us USA,FW,28-102,90,0,0,0,1,0,1,0,1,1,0,0,0,2,2,4,33.3
Levonte Johnson,28,ca CAN,LW,25-061,61,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,
Ryan Raposo,7,ca CAN,LW,25-071,29,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,
Ryan Gauld,25,sct SCO,RW,28-151,90,0,0,0,0,0,0,6,0,2,0,0,0,6,1,0,100.0
Luís Martins,14,pt POR,LM,31-340,61,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
Tristan Blackmon,6,us USA,LM,27-277,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Andrés Cubas,20,py PAR,CM,27-359,87,0,0,0,1,0,0,0,5,1,0,0,0,10,1,0,100.0
Cyprian Kachwele,55,tz TAN,CM,19-090,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Pedro Vite,45,ec ECU,CM,22-067,90,0,0,0,1,2,0,0,2,0,0,0,0,6,0,1,0.0
Ali Ahmed,22,ca CAN,RM,23-218,90,0,0,0,2,1,0,6,2,0,0,0,0,3,0,0,
Bjørn Inge Utvik,15,no NOR,CB,28-077,44,0,1,0,2,0,0,0,0,1,0,1,0,1,1,1,50.0
Ranko Veselinović,4,rs SRB,CB,25-052,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,66.7
Javain Brown,23,jm JAM,CB,25-067,71,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,100.0
Fafà Picault,11,ht HAI,CB,33-082,19,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,
Yohei Takaoka,1,jp JPN,GK,28-060,90,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,100.0
15 Players,,,,,944,0,1,0,10,5,1,12,13,5,0,1,0,41,12,8,60.0
