,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Petar Musa,9,hr CRO,FW,26-012,90,0,0,0,3,0,0,1,0,0,0,0,0,2,9,4,69.2
Dante Sealy,11,us USA,LW,LB,20-334,90,0,0,0,4,1,0,5,1,2,0,0,0,8,0,0,
Paul Arriola,7,us USA,RW,LW,29-040,90,0,0,0,1,1,0,6,0,0,0,0,0,2,1,0,100.0
Jesús Ferreira,10,us USA,AM,23-083,90,0,0,0,0,1,0,6,0,0,0,0,0,1,0,0,
Sebastian Lletget,8,us USA,DM,31-195,82,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0.0
Eugene Ansah,31,gh GHA,DM,29-091,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Patrickson Delgado,6,ec ECU,DM,20-151,72,0,0,0,0,3,0,1,1,1,0,0,0,7,0,1,0.0
Tsiki Ntsabeleng,16,za RSA,DM,26-036,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Sam Junqua,29,us USA,LB,27-128,62,0,0,0,1,2,0,2,2,0,0,0,0,0,3,2,60.0
Bernard Kamungo,77,us USA,RW,22-075,28,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
Nkosi Tafari,17,us USA,CB,27-004,90,0,0,0,1,1,0,0,1,0,0,0,0,6,1,3,25.0
Sebastien Ibeagha,25,us USA,CB,32-055,90,0,0,0,1,0,0,0,1,0,0,0,0,9,1,1,50.0
Ema Twumasi,22,gh GHA,RB,26-303,82,0,0,0,1,0,0,2,0,1,0,0,0,6,2,1,66.7
Herbert Endeley,27,us USA,RB,22-159,8,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,
Maarten Paes,30,id IDN,GK,25-307,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
15 Players,,,,,990,0,0,0,13,10,0,23,8,4,0,0,0,52,17,14,54.8
