,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Brian White,24,us USA,FW,28-042,90,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,75.0
Fafà Picault,11,ht HAI,AM,33-022,72,0,0,0,1,3,2,3,0,0,0,0,0,2,2,2,50.0
Ali Ahmed,22,ca CAN,AM,23-158,18,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,
Ryan Gauld,25,sct SCO,AM,28-091,82,1,0,0,3,1,1,3,0,2,0,0,0,5,3,0,100.0
Damir Kreilach,19,hr CRO,AM,34-335,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Andrés Cubas,20,py PAR,CM,27-299,90,0,0,0,3,0,0,0,1,1,0,0,0,9,0,0,
Pedro Vite,45,ec ECU,CM,22-007,59,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,
Sebastian Berhalter,16,us USA,CM,22-304,31,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,100.0
Alessandro Schöpf,8,at AUT,WB,30-038,59,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,
Luís Martins,14,pt POR,WB,31-280,31,0,0,0,0,0,0,1,2,0,0,0,0,4,0,1,0.0
Ryan Raposo,7,ca CAN,WB,25-011,83,0,0,0,1,3,0,5,2,2,0,0,0,4,0,5,0.0
Javain Brown,23,jm JAM,WB,25-007,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Tristan Blackmon,6,us USA,CB,27-217,90,0,0,0,0,0,0,1,2,0,0,0,0,3,1,3,25.0
Ranko Veselinović,4,rs SRB,CB,24-358,90,0,0,0,0,2,0,0,1,1,0,0,0,3,3,1,75.0
Mathías Laborda,2,uy URU,CB,24-183,90,0,0,0,0,1,0,0,1,0,0,0,0,5,1,4,20.0
Yohei Takaoka,1,jp JPN,GK,28-000,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16 Players,,,,,990,1,0,0,10,12,5,16,11,7,0,0,0,44,14,17,45.2
