,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Ezequiel Ponce,10,ar ARG,FW,27-173,83,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50.0
Sebastián Ferreira,11,py PAR,FW,26-218,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aliyu Ibrahim,18,ng NGA,LW,22-246,69,0,0,0,1,0,1,1,0,0,0,0,0,4,0,0,
Latif Blessing,15,gh GHA,LW,27-263,21,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0.0
Sebastian Kowalczyk,27,pl POL,RW,26-027,78,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0.0
McKinze Gaines,14,us USA,RW,26-200,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
Amine Bassi,8,fr FRA,AM,26-296,90,1,0,0,3,2,2,11,0,2,1,0,0,2,0,0,
Adalberto Carrasquilla,20,pa PAN,DM,25-295,69,0,0,0,2,1,0,1,0,0,0,0,0,4,0,0,
Brooklyn Raines,35,us USA,DM,19-191,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Artur,6,br BRA,DM,28-191,90,0,0,0,1,1,0,1,1,1,0,0,0,5,1,2,33.3
Franco Escobar,2,ar ARG,LB,29-210,78,0,0,0,0,0,0,2,1,0,0,0,0,3,1,1,50.0
Daniel Steres,5,us USA,LB,33-312,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Micael,31,br BRA,CB,24-037,90,1,0,0,1,0,1,0,0,0,0,0,0,4,1,3,25.0
Erik Sviatchenko,28,dk DEN,CB,32-350,90,1,0,0,2,0,0,1,0,0,0,0,0,0,2,3,40.0
Griffin Dorsey,25,us USA,RB,25-197,90,0,0,0,2,3,0,14,1,0,0,0,0,1,0,1,0.0
Steve Clark,12,us USA,GK,38-157,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16 Players,,,,,990,3,0,0,13,11,5,35,3,3,1,0,0,24,7,13,35.0
