,SCA 1,SCA 2
,SCA 1,SCA 2
Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes,Player,Event,Player,Event
12,Ryan Gauld,Vancouver W'caps,0.05,0.23,Saved,11,Left Foot,Deflected, Volley,Pedro Vite,Pass (Live),Ryan Raposo,Pass (Live)
24,Fafà Picault,Vancouver W'caps,0.04,0.12,Saved,13,Left Foot,,Bjørn Inge Utvik,Pass (Live),Sam Adekugbe,Pass (Live)
,,,,,,,,,,,,
55,Alessandro Schöpf,Vancouver W'caps,0.05,0.00,Off Target,11,Head,,Ryan Raposo,Pass (Live),Alessandro Schöpf,Pass (Live)
55,Mathías Laborda,Vancouver W'caps,0.12,0.00,Off Target,4,Head,,Ryan Gauld,Pass (Live),Alessandro Schöpf,Shot
57,Mathías Laborda,Vancouver W'caps,0.11,0.00,Blocked,11,Right Foot,,Fafà Picault,Fouled,Yohei Takaoka,Pass (Live)
62,Mathías Laborda,Vancouver W'caps,0.18,0.00,Blocked,5,Head,,Sebastian Berhalter,Pass (Dead),,Fouled
65,Ryan Gauld,Vancouver W'caps,0.03,0.07,Saved,23,Left Foot,,Ryan Gauld,Tackle,,
71,Édier Ocampo,Vancouver W'caps,0.03,0.00,Off Target,10,Head,,Fafà Picault,Pass (Live),Ralph Priso-Mbongue,Pass (Live)
73,Brian White,Vancouver W'caps,0.46,0.58,Goal,8,Right Foot,,Fafà Picault,Pass (Live),Ryan Gauld,Pass (Live)
