,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Fafà Picault,11,ht HAI,FW,LW,RW,33-208,90,0,0,0,2,2,0,3,0,1,0,0,0,3,1,2,33.3
Ryan Gauld,25,sct SCO,FW,28-277,86,0,0,0,2,0,0,1,0,1,0,0,0,2,0,1,0.0
Tristan Blackmon,6,us USA,CB,FW,28-037,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sam Adekugbe,3,ca CAN,LW,29-246,69,0,0,0,1,1,0,2,0,0,0,0,0,2,0,0,
Édier Ocampo,18,co COL,RW,LW,20-351,21,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
Ryan Raposo,7,ca CAN,RW,25-197,59,0,0,0,0,0,0,2,0,1,0,0,0,3,0,0,
Brian White,24,us USA,FW,28-228,31,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100.0
Pedro Vite,45,ec ECU,CM,22-193,45,1,0,0,3,1,0,0,1,0,0,1,0,1,0,0,
Alessandro Schöpf,8,at AUT,CM,30-224,45,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,50.0
Sebastian Berhalter,16,us USA,CM,23-124,90,0,0,0,0,2,0,6,3,0,0,0,0,1,2,0,100.0
Andrés Cubas,20,py PAR,DM,28-119,45,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0.0
Ralph Priso-Mbongue,13,ca CAN,DM,22-047,45,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,
Bjørn Inge Utvik,15,no NOR,CB,28-203,90,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,50.0
Ranko Veselinović,4,rs SRB,CB,25-178,90,0,0,0,1,1,0,0,1,0,0,0,0,3,2,0,100.0
Mathías Laborda,2,uy URU,CB,LW,25-003,90,0,0,0,2,1,0,0,1,1,0,0,0,5,4,1,80.0
Yohei Takaoka,1,jp JPN,GK,28-186,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16 Players,,,,,990,2,0,0,11,12,1,14,8,5,0,1,0,29,13,7,65.0
