,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Mateusz Bogusz,19,pl POL,FW,CM,22-263,86,1,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0.0
Jesús David Murillo,3,co COL,CM,CB,30-083,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Denis Bouanga,99,ga GAB,LW,29-182,90,0,0,0,0,0,0,3,1,1,0,0,0,0,0,1,0.0
Cristian Olivera,13,uy URU,RW,22-024,86,0,0,0,3,0,0,4,0,0,0,0,0,4,1,0,100.0
Luis Müller,91,de GER,RW,23-089,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Eduard Atuesta,20,co COL,LM,CM,26-328,90,0,0,0,3,1,0,2,1,1,0,0,0,9,0,4,0.0
Ilie Sánchez,6,es ESP,CM,33-172,79,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,
Kei Kamara,23,sl SLE,FW,CM,39-253,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,50.0
Timmy Tillman,11,de GER,RM,25-128,67,0,0,0,1,1,0,0,0,1,0,0,0,4,0,2,0.0
Erik Duenas,18,us USA,RM,CM,19-206,23,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Omar Campos,2,mx MEX,LB,LM,21-296,90,0,0,0,1,2,0,2,0,0,0,0,0,4,1,1,50.0
Aaron Long,33,us USA,CB,31-212,90,0,0,0,3,1,0,0,2,1,0,0,0,0,3,1,75.0
Maxime Chanot,25,lu LUX,CB,34-172,90,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,50.0
Sergi Palencia,14,es ESP,RB,28-049,78,0,0,0,3,2,0,1,0,0,0,0,0,6,1,1,50.0
Eddie Segura,4,co COL,RB,RM,27-099,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Hugo Lloris,1,fr FRA,GK,37-137,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
16 Players,,,,,990,1,0,0,17,7,0,17,6,4,0,0,0,33,10,14,41.7
