,SCA 1,SCA 2
,SCA 1,SCA 2
Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes,Player,Event,Player,Event
9,Ryan Raposo,Vancouver W'caps,0.02,,Blocked,30,Right Foot,,Ali Ahmed,Pass (Live),Ryan Gauld,Pass (Live)
14,Fafà Picault,Vancouver W'caps,0.05,0.08,Saved,16,Right Foot,,Tristan Blackmon,Pass (Live),Ryan Raposo,Pass (Live)
15,Ali Ahmed,Vancouver W'caps,0.04,,Off Target,15,Right Foot,,Ryan Gauld,Pass (Live),Alessandro Schöpf,Pass (Live)
38,Alessandro Schöpf,Vancouver W'caps,0.01,,Off Target,18,Head,,Tristan Blackmon,Pass (Live),Ryan Raposo,Pass (Live)
45,Ryan Gauld,Vancouver W'caps,0.05,,Blocked,26,Left Foot,Free kick,Fafà Picault,Fouled,Brian White,Pass (Live)
,,,,,,,,,,,,
53,Mathías Laborda,Vancouver W'caps,0.01,,Off Target,17,Head,,Ryan Raposo,Pass (Dead),Alessandro Schöpf,Fouled
63,Levonte Johnson,Vancouver W'caps,0.03,,Blocked,17,Right Foot,,Ranko Veselinović,Pass (Live),Ryan Raposo,Pass (Dead)
66,Pedro Vite,Vancouver W'caps,0.01,0.04,Saved,29,Left Foot,,Pedro Vite,Tackle,,
67,Levonte Johnson,Vancouver W'caps,0.02,0.09,Saved,20,Left Foot,,Brian White,Pass (Live),Andrés Cubas,Pass (Live)
72,Brian White,Vancouver W'caps,0.06,,Off Target,10,Head,,Ryan Gauld,Pass (Dead),Levonte Johnson,Fouled
81,Ryan Gauld,Vancouver W'caps,0.04,,Off Target,22,Left Foot,,Sebastian Berhalter,Pass (Live),Ryan Gauld,Pass (Live)
90+3,Pedro Vite,Vancouver W'caps,0.03,,Blocked,22,Left Foot,,Mathías Laborda,Pass (Live),Tristan Blackmon,Pass (Live)
90+4,Ranko Veselinović,Vancouver W'caps,0.03,,Blocked,23,Right Foot,,Luís Martins,Pass (Live),Ryan Gauld,Pass (Live)
