,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Brian White,24,us USA,FW,28-098,79,1,0,0,1,0,1,0,1,0,0,0,0,1,4,2,66.7
Sebastian Berhalter,16,us USA,FW,22-360,11,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,
Fafà Picault,11,ht HAI,LW,33-078,61,0,0,0,1,2,0,1,0,1,0,0,0,2,2,0,100.0
Levonte Johnson,28,ca CAN,LW,25-057,29,0,0,0,0,4,0,0,0,0,0,0,0,2,0,2,0.0
Ryan Gauld,25,sct SCO,RW,28-147,90,0,0,0,0,1,0,5,0,1,0,0,0,6,1,1,50.0
Ali Ahmed,22,ca CAN,LM,23-214,68,0,0,0,1,4,0,2,2,1,0,0,0,3,0,0,
Javain Brown,23,jm JAM,LM,25-063,22,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,
Andrés Cubas,20,py PAR,CM,27-355,90,0,0,0,1,0,0,0,2,4,0,0,0,3,0,0,
Alessandro Schöpf,8,at AUT,CM,30-094,61,0,0,0,2,4,0,1,0,0,0,0,0,4,2,0,100.0
Pedro Vite,45,ec ECU,CM,22-063,29,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,
Ryan Raposo,7,ca CAN,RM,25-067,67,0,0,0,0,0,0,7,0,0,0,0,0,0,1,2,33.3
Luís Martins,14,pt POR,RM,31-336,23,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,
Tristan Blackmon,6,us USA,CB,27-273,90,0,0,0,0,0,0,1,0,0,0,0,0,5,1,2,33.3
Ranko Veselinović,4,rs SRB,CB,25-048,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,50.0
Mathías Laborda,2,uy URU,CB,24-239,90,0,0,0,1,0,0,1,3,3,0,0,0,4,2,0,100.0
Yohei Takaoka,1,jp JPN,GK,28-056,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16 Players,,,,,990,1,0,0,7,15,1,24,9,13,0,0,0,37,14,10,58.3
