,SCA 1,SCA 2
,SCA 1,SCA 2
Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes,Player,Event,Player,Event
5,Belal Halbouni,Vancouver W'caps,0.09,0.00,Off Target,10,Right Foot,Volley,Sebastian Berhalter,Pass (Dead),Sebastian Berhalter,Pass (Live)
9,Alessandro Schöpf,Vancouver W'caps,0.06,0.00,Blocked,31,Right Foot,,,,,
10,Mathías Laborda,Vancouver W'caps,0.11,0.00,Blocked,8,Head,,Sebastian Berhalter,Pass (Dead),Alessandro Schöpf,Shot
39,Brian White,Vancouver W'caps,0.06,0.00,Blocked,13,Left Foot,,,,,
45+2,Brian White,Vancouver W'caps,0.03,0.00,Off Target,12,Head,,Alessandro Schöpf,Pass (Dead),Brian White,Fouled
,,,,,,,,,,,,
48,Édier Ocampo,Vancouver W'caps,0.07,0.00,Off Target,14,Right Foot,,Brian White,Pass (Live),Ryan Gauld,Pass (Live)
63,Brian White,Vancouver W'caps,0.62,0.86,Goal,3,Left Foot,,Ryan Gauld,Pass (Live),Levonte Johnson,Pass (Live)
71,Sebastian Berhalter,Vancouver W'caps,0.09,0.00,Off Target,12,Right Foot,,Sam Adekugbe,Pass (Live),Pedro Vite,Pass (Live)
78,Belal Halbouni,Vancouver W'caps,0.10,0.00,Blocked,14,Right Foot,Volley,Stuart Armstrong,Pass (Live),Pedro Vite,Pass (Live)
89,Fafà Picault,Vancouver W'caps,0.05,0.00,Off Target,24,Right Foot,,Sebastian Berhalter,Pass (Live),Fafà Picault,Pass (Live)
90+2,Belal Halbouni,Vancouver W'caps,0.04,0.00,Blocked,29,Right Foot,,Stuart Armstrong,Pass (Live),Stuart Armstrong,Pass (Live)
90+6,Stuart Armstrong,Vancouver W'caps,0.02,0.00,Blocked,32,Right Foot,Volley,Tristan Blackmon,Pass (Live),Sam Adekugbe,Pass (Live)
90+6,Sam Adekugbe,Vancouver W'caps,0.07,0.78,Goal,9,Head,,Ryan Gauld,Pass (Dead),Stuart Armstrong,Shot
