,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Levonte Johnson,28,ca CAN,FW,25-190,64,0,0,0,0,0,0,2,0,0,0,0,0,3,0,2,0.0
Stuart Armstrong,26,sct SCO,CM,32-175,26,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,
Brian White,24,us USA,FW,28-231,76,0,0,0,0,1,0,0,1,0,0,0,0,1,1,3,25.0
Fafà Picault,11,ht HAI,FW,33-211,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Alessandro Schöpf,8,at AUT,CM,30-227,90,0,0,0,0,0,0,2,2,1,0,0,0,7,1,0,100.0
Ralph Priso-Mbongue,13,ca CAN,CM,22-050,45,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,
Pedro Vite,45,ec ECU,CM,22-196,45,1,0,0,2,0,0,1,3,0,0,0,0,2,0,0,
Sebastian Berhalter,16,us USA,CM,WB,23-127,90,1,0,0,1,2,0,12,3,0,0,0,1,3,0,0,
Édier Ocampo,18,co COL,WB,20-354,65,0,0,0,1,1,1,4,2,1,0,0,0,3,1,0,100.0
Sam Adekugbe,3,ca CAN,WB,29-249,25,0,0,0,0,0,0,3,0,1,0,0,0,1,2,0,100.0
Mathías Laborda,2,uy URU,WB,25-006,45,0,0,0,1,0,0,2,0,0,0,0,0,1,1,1,50.0
Ryan Gauld,25,sct SCO,FW,WB,28-280,45,0,0,0,2,0,0,7,1,1,0,0,0,2,0,0,
Tristan Blackmon,6,us USA,CB,28-040,90,0,0,0,0,0,0,1,2,0,0,0,0,5,0,1,0.0
Ranko Veselinović,4,rs SRB,CB,25-181,90,0,0,0,1,0,0,0,1,1,0,0,0,2,1,0,100.0
Belal Halbouni,12,sy SYR,CB,24-267,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Yohei Takaoka,1,jp JPN,GK,28-189,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
16 Players,,,,,990,3,0,0,9,5,1,36,16,5,0,0,1,43,7,7,50.0
