,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Jeong Sangbin,11,kr KOR,FW,22-093,72,1,0,0,1,1,0,1,0,1,0,0,0,1,1,3,25.0
Jordan Adebayo-Smith,99,ng NGA,FW,24-174,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Robin Lod,17,fi FIN,AM,CM,31-077,90,0,0,0,3,1,0,2,0,1,0,0,0,2,0,3,0.0
Bongokuhle Hlongwane,21,za RSA,AM,24-013,90,0,0,0,2,3,2,4,0,2,0,0,0,3,2,2,50.0
Hassani Dotson,31,us USA,CM,26-332,90,0,0,0,1,3,0,0,1,0,0,0,0,4,1,1,50.0
Alejandro Bran,25,cr CRC,CM,23-120,61,1,0,0,1,1,0,1,0,0,0,0,0,3,2,1,66.7
Franco Fragapane,7,ar ARG,AM,31-148,29,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Joseph Rosales,8,hn HON,WB,23-240,90,0,0,0,0,0,0,12,1,2,0,0,0,7,0,2,0.0
Caden Clark,37,us USA,WB,21-037,61,0,0,0,0,0,0,0,2,2,0,0,0,3,0,0,
D.J. Taylor,27,us USA,WB,26-312,29,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0.0
Devin Padelford,2,us USA,CB,21-182,90,0,0,0,0,0,0,0,1,4,0,0,0,3,4,1,80.0
Miguel Tapias,4,mx MEX,CB,27-176,90,0,0,0,0,0,0,0,1,2,0,0,0,4,2,2,50.0
Michael Boxall,15,nz NZL,CB,35-320,90,1,0,0,3,0,0,0,1,2,0,0,0,2,1,1,50.0
Alec Smir,30,us USA,GK,25-081,90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
14 Players,,,,,990,4,0,0,12,10,2,25,7,16,0,0,0,35,13,17,43.3
