,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Brian White,24,us USA,FW,28-151,90,1,0,0,0,0,1,0,0,1,0,0,0,2,2,2,50.0
Ryan Gauld,25,sct SCO,LW,FW,28-200,74,1,0,0,1,2,1,1,1,1,0,0,0,4,0,1,0.0
Fafà Picault,11,ht HAI,FW,33-131,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,25.0
Levonte Johnson,28,ca CAN,RW,25-110,62,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,100.0
Ryan Raposo,7,ca CAN,WB,RW,25-120,28,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0.0
Luís Martins,14,pt POR,LM,32-023,62,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,50.0
Javain Brown,23,jm JAM,WB,LM,25-116,28,0,0,0,0,0,0,1,1,1,0,0,0,2,1,0,100.0
Sebastian Berhalter,16,us USA,CM,DM,23-047,90,0,0,0,3,1,0,6,1,1,0,0,0,4,1,0,100.0
Pedro Vite,45,ec ECU,CM,22-116,61,0,0,0,0,2,0,0,1,0,0,0,0,8,0,1,0.0
Ralph Priso-Mbongue,13,ca CAN,DM,CM,21-336,29,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,
Alessandro Schöpf,8,at AUT,RM,DM,30-147,87,0,0,0,1,0,0,1,1,2,0,0,0,5,0,1,0.0
Giuseppe Bovalina,27,au AUS,DM,19-235,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bjørn Inge Utvik,15,no NOR,CB,28-126,90,0,0,0,2,2,0,0,0,1,0,1,0,2,4,2,66.7
Ranko Veselinović,4,rs SRB,CB,25-101,90,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,50.0
Mathías Laborda,2,uy URU,CB,24-292,90,1,0,0,3,3,0,1,2,2,0,0,0,2,4,0,100.0
Yohei Takaoka,1,jp JPN,GK,28-109,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
16 Players,,,,,990,3,0,0,13,11,2,11,8,10,0,1,0,37,17,13,56.7
