,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Giacomo Vrioni,9,al ALB,FW,25-244,90,0,0,0,4,1,0,0,0,2,0,0,0,4,2,1,66.7
Dylan Borrero,11,co COL,LW,22-162,90,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,
Esmir Bajraktarevic,47,ba BIH,RW,19-097,85,0,0,0,0,0,0,2,0,1,0,0,0,4,0,1,0.0
Emmanuel Boateng,18,gh GHA,RW,30-150,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Carles Gil,10,es ESP,AM,31-206,90,0,0,0,1,4,0,4,0,0,0,0,0,5,0,0,
Noel Buck,29,eng ENG,DM,19-071,70,0,0,0,2,1,0,0,0,0,0,0,0,1,2,0,100.0
Andrew Farrell,88,us USA,DM,32-074,20,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,
Ian Harkes,14,us USA,DM,29-077,90,0,0,0,1,2,0,0,2,1,0,0,0,3,2,4,33.3
DeJuan Jones,24,us USA,LB,26-357,90,0,0,0,0,1,0,4,2,0,0,0,0,1,1,2,33.3
David Romney,2,us USA,CB,31-003,90,0,0,0,1,0,0,0,1,0,0,0,0,4,3,6,33.3
Xavier Arreaga,3,ec ECU,CB,29-261,90,1,0,0,2,1,0,0,1,1,0,0,0,11,0,1,0.0
Nick Lima,12,us USA,RB,29-211,90,0,0,0,1,0,0,3,2,0,0,0,0,1,0,2,0.0
Aljaž Ivačič,31,si SVN,GK,30-169,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13 Players,,,,,990,1,0,0,12,11,0,20,8,5,0,0,0,40,10,18,35.7
