,SCA 1,SCA 2
,SCA 1,SCA 2
Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes,Player,Event,Player,Event
6,Damir Kreilach,Vancouver W'caps,0.04,0.11,Saved,14,Right Foot,Volley,Ryan Gauld,Pass (Live),Javain Brown,Pass (Live)
13,Ryan Gauld,Vancouver W'caps,0.01,0.19,Goal,14,Head,,Javain Brown,Pass (Live),Ranko Veselinović,Pass (Live)
25,Damir Kreilach,Vancouver W'caps,0.03,,Off Target,9,Head,,Sebastian Berhalter,Pass (Dead),,
34,Brian White,Vancouver W'caps,0.23,0.75,Saved,4,Right Foot,,Javain Brown,Pass (Live),Pedro Vite,Pass (Live)
41,Sebastian Berhalter,Vancouver W'caps,0.02,,Off Target,33,Right Foot,,Javain Brown,Pass (Dead),Damir Kreilach,Fouled
,,,,,,,,,,,,
49,Brian White,Vancouver W'caps,0.08,,Off Target,10,Head,,Fafà Picault,Pass (Live),Luís Martins,Pass (Live)
50,Ryan Gauld,Vancouver W'caps,0.06,,Blocked,15,Right Foot,Volley,Luís Martins,Pass (Live),Bjørn Inge Utvik,Pass (Live)
55,Sebastian Berhalter,Vancouver W'caps,0.03,0.41,Saved,24,Right Foot,,Pedro Vite,Pass (Live),Luís Martins,Pass (Live)
61,Brian White,Vancouver W'caps,0.05,0.02,Saved,11,Head,Deflected,Bjørn Inge Utvik,Pass (Live),Luís Martins,Pass (Live)
68,Giuseppe Bovalina,Vancouver W'caps,0.04,0.44,Saved,24,Left Foot,,Sebastian Berhalter,Pass (Live),Javain Brown,Pass (Live)
74,Javain Brown,Vancouver W'caps,0.01,0.14,Saved,11,Head,,Ryan Gauld,Pass (Dead),Brian White,Pass (Live)
79,Giuseppe Bovalina,Vancouver W'caps,0.03,,Off Target,17,Left Foot,,Giuseppe Bovalina,Take-On,Sebastian Berhalter,Pass (Live)
90+3,Ranko Veselinović,Vancouver W'caps,0.02,,Off Target,9,Head,,Ryan Gauld,Pass (Dead),,
90+4,Ryan Gauld,Vancouver W'caps,0.02,0.20,Goal,34,Left Foot,,Ralph Priso-Mbongue,Pass (Live),Levonte Johnson,Pass (Live)
