,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Damir Kreilach,19,hr CRO,FW,35-060,45,0,0,0,1,1,0,0,1,0,0,0,0,0,2,2,50.0
Fafà Picault,11,ht HAI,FW,LW,33-113,45,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,100.0
Brian White,24,us USA,FW,28-133,90,0,0,0,2,3,0,0,0,0,0,0,0,1,6,2,75.0
Ryan Gauld,25,sct SCO,AM,RM,28-182,90,0,0,0,1,1,0,4,0,2,0,0,0,4,2,1,66.7
Sebastian Berhalter,16,us USA,CM,LM,23-029,90,1,0,0,2,1,0,4,1,0,0,0,0,3,2,1,66.7
Pedro Vite,45,ec ECU,CM,22-098,89,0,0,0,1,3,0,0,1,1,0,0,0,13,0,0,
Ralph Priso-Mbongue,13,ca CAN,CM,21-318,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Luís Martins,14,pt POR,WB,32-005,78,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,
Levonte Johnson,28,ca CAN,RW,25-092,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Ryan Raposo,7,ca CAN,WB,25-102,59,0,0,0,0,1,0,3,1,3,0,0,0,2,1,0,100.0
Giuseppe Bovalina,27,au AUS,WB,LB,19-217,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Bjørn Inge Utvik,15,no NOR,CB,28-108,90,0,0,0,1,0,0,1,0,1,0,0,0,2,2,1,66.7
Ranko Veselinović,4,rs SRB,CB,25-083,90,0,0,0,0,0,0,0,0,3,0,0,0,1,2,2,50.0
Javain Brown,23,jm JAM,CB,RB,25-098,90,0,0,0,0,2,0,6,0,0,0,0,0,9,0,1,0.0
Yohei Takaoka,1,jp JPN,GK,28-091,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15 Players,,,,,990,2,0,0,11,12,0,24,4,10,0,0,0,35,18,10,64.3
