,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Lewis Morgan,9,sct SCO,LW,FW,27-210,90,0,0,0,0,0,0,7,0,0,0,0,0,0,2,5,28.6
Dante Vanzeir,13,be BEL,FW,26-011,65,1,0,0,1,1,0,4,0,0,0,0,0,0,1,1,50.0
Elias Manoel,11,br BRA,FW,22-149,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0
Emil Forsberg,10,se SWE,LM,AM,RW,32-187,89,0,0,0,0,1,0,6,0,0,0,0,0,1,0,0,
Cory Burke,7,jm JAM,RW,32-121,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
Wikelman Carmona,19,ve VEN,CM,DM,21-063,66,1,0,0,1,1,0,1,0,0,0,0,0,5,0,0,
Frankie Amaya,8,us USA,DM,23-214,24,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,
Daniel Edelman,75,us USA,DM,CM,20-365,90,1,0,0,2,1,0,0,1,1,0,0,0,11,1,1,50.0
Dennis Gjengaar,2,no NOR,RM,RW,20-063,66,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0.0
Cameron Harper,17,us USA,RB,RW,22-160,24,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,
John Tolkin,47,us USA,LB,21-271,78,0,0,0,2,1,0,4,2,0,0,0,0,5,1,0,100.0
Kyle Duncan,6,us USA,LB,26-263,12,0,0,0,0,0,0,1,1,0,0,0,0,3,1,0,100.0
Noah Eile,3,se SWE,CB,21-283,73,0,1,0,1,0,0,0,0,0,0,0,0,3,1,1,50.0
Sean Nealis,15,us USA,CB,27-105,90,0,0,0,1,0,0,0,0,2,0,0,0,3,1,2,33.3
Dylan Nealis,12,us USA,RB,CB,25-272,90,1,0,0,0,1,0,0,0,0,0,0,0,7,3,5,37.5
Carlos Coronel,31,py PAR,GK,27-120,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,100.0
16 Players,,,,,973,4,1,0,11,10,0,24,4,5,0,0,0,44,12,19,38.7
