,SCA 1,SCA 2
,SCA 1,SCA 2
Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes,Player,Event,Player,Event
12,Tristan Blackmon,Vancouver W'caps,0.01,,Off Target,14,Head,,Ryan Gauld,Pass (Dead),Ryan Gauld,Pass (Live)
15,Brian White,Vancouver W'caps,0.25,0.94,Goal,5,Right Foot,Deflected,Ryan Raposo,Pass (Live),Pedro Vite,Pass (Live)
29,Mathías Laborda,Vancouver W'caps,0.04,,Blocked,11,Right Foot,,Ranko Veselinović,Pass (Live),Tristan Blackmon,Pass (Live)
30,Brian White,Vancouver W'caps,0.37,0.48,Saved,12,Right Foot,,Ryan Gauld,Pass (Live),,
44,Sebastian Berhalter,Vancouver W'caps,0.14,,Blocked,22,Right Foot,Free kick,Ryan Gauld,Fouled,Ryan Gauld,Take-On
,,,,,,,,,,,,
60,Brian White,Vancouver W'caps,0.05,,Blocked,12,Left Foot,,Ali Ahmed,Pass (Live),,
76,Sebastian Berhalter,Vancouver W'caps,0.06,,Blocked,28,Right Foot,Free kick,,Fouled,Yohei Takaoka,Pass (Live)
77,Ali Ahmed,Vancouver W'caps,0.04,,Off Target,17,Right Foot,Volley,Javain Brown,Pass (Live),Mathías Laborda,Pass (Live)
79,Tristan Blackmon,Vancouver W'caps,0.02,,Blocked,13,Right Foot,,Tristan Blackmon,Take-On,Sebastian Berhalter,Pass (Dead)
81,Ali Ahmed,Vancouver W'caps,0.03,0.03,Saved,19,Right Foot,,Ryan Gauld,Pass (Live),Ralph Priso-Mbongue,Pass (Live)
88,Tristan Blackmon,Vancouver W'caps,0.02,0.04,Saved,13,Head,,Ryan Gauld,Pass (Dead),,
