,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Brian White,24,us USA,FW,RW,28-084,90,0,0,0,1,1,1,0,0,0,0,0,0,1,2,0,100.0
Sam Adekugbe,3,ca CAN,LW,29-102,60,1,0,0,2,0,0,2,0,0,0,0,0,0,1,2,33.3
Javain Brown,23,jm JAM,CB,RM,25-049,30,0,0,0,0,0,0,2,0,0,0,0,0,3,1,1,50.0
Ryan Gauld,25,sct SCO,RW,LW,LM,28-133,90,0,0,0,0,2,0,4,0,1,0,0,0,5,0,1,0.0
Ali Ahmed,22,ca CAN,LM,RM,23-200,90,0,0,0,2,2,0,1,4,0,0,0,0,9,1,1,50.0
Sebastian Berhalter,16,us USA,CM,LM,22-346,86,0,0,0,0,0,0,3,1,1,0,0,0,4,0,2,0.0
Damir Kreilach,19,hr CRO,FW,35-011,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Pedro Vite,45,ec ECU,CM,22-049,90,0,0,0,3,1,0,2,2,2,0,0,0,7,0,1,0.0
Ryan Raposo,7,ca CAN,RM,25-053,60,1,0,0,0,1,0,2,1,0,0,0,0,5,1,0,100.0
Ralph Priso-Mbongue,13,ca CAN,CM,RW,21-269,30,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,
Tristan Blackmon,6,us USA,CB,27-259,90,0,0,0,1,1,0,0,0,0,0,0,0,5,5,1,83.3
Ranko Veselinović,4,rs SRB,CB,25-034,90,0,0,0,0,0,0,0,1,0,0,0,0,4,4,1,80.0
Mathías Laborda,2,uy URU,CB,24-225,78,1,0,0,0,2,0,0,1,0,0,0,0,1,2,2,50.0
Fafà Picault,11,ht HAI,LW,33-064,12,0,0,0,0,0,1,2,1,0,0,0,0,2,0,0,
Yohei Takaoka,1,jp JPN,GK,28-042,90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
15 Players,,,,,990,3,0,0,10,10,2,18,11,4,0,0,0,50,19,12,61.3
