,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Felipe Mora,9,cl CHI,FW,30-325,76,0,0,0,0,2,0,0,0,0,0,0,0,1,2,5,28.6
Antony,11,br BRA,LW,22-288,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Jonathan Rodríguez,14,uy URU,LW,FW,30-352,86,0,0,0,1,0,1,1,0,0,0,0,0,3,0,1,0.0
Nathan Fogaça,99,br BRA,FW,25-013,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Santiago Moreno,30,co COL,RW,24-062,86,0,0,0,4,2,0,0,1,2,0,0,0,5,1,1,50.0
Dairon Asprilla,27,co COL,RW,32-028,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Evander,10,br BRA,AM,26-013,86,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,
Eryk Williamson,19,us USA,AM,27-011,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
David Ayala,24,ar ARG,DM,21-332,63,1,0,0,0,1,0,0,2,0,0,0,0,4,0,0,
Cristhian Paredes,22,py PAR,DM,26-035,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Diego Chará,21,co COL,DM,38-078,90,0,0,0,2,2,0,0,1,2,0,0,0,8,1,2,33.3
Claudio Bravo,5,ar ARG,LB,27-101,90,0,0,0,2,0,0,2,0,2,0,0,0,2,2,0,100.0
Dario Župarić,13,ba BIH,CB,32-050,90,0,0,0,0,2,0,0,0,0,0,0,0,2,3,0,100.0
Zac McGraw,18,ca CAN,CB,27-014,90,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,66.7
Juan David Mosquera,29,co COL,RB,21-291,90,0,0,0,1,0,0,1,1,2,0,0,0,7,1,0,100.0
James Pantemis,41,ca CAN,GK,27-122,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
16 Players,,,,,990,1,0,0,11,12,1,5,5,9,0,0,0,42,13,10,56.5
