,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Ryan Gauld,25,sct SCO,FW,28-189,90,0,0,0,2,2,0,5,1,2,0,0,0,6,1,0,100.0
Fafà Picault,11,ht HAI,FW,33-120,45,0,0,0,0,0,2,2,0,0,0,0,0,1,1,3,25.0
Brian White,24,us USA,FW,28-140,27,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.0
Damir Kreilach,19,hr CRO,FW,35-067,18,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0
Giuseppe Bovalina,27,au AUS,LW,19-224,45,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0
Ryan Raposo,7,ca CAN,WB,LW,25-109,45,0,0,0,0,2,0,1,1,0,0,0,0,4,0,1,0.0
Sebastian Berhalter,16,us USA,RW,CM,23-036,90,1,0,0,0,0,1,8,2,1,0,0,0,2,0,1,0.0
Alessandro Schöpf,8,at AUT,CM,30-136,51,2,1,1,2,0,0,1,1,0,0,0,0,4,0,1,0.0
Pedro Vite,45,ec ECU,CM,22-105,90,0,0,0,2,3,0,0,0,5,0,0,0,6,0,0,
Mathías Laborda,2,uy URU,DM,CB,24-281,76,0,0,0,3,0,0,0,1,2,0,0,0,4,0,0,
Levonte Johnson,28,ca CAN,CB,25-099,14,0,0,0,1,1,0,0,0,2,0,0,0,2,0,0,
Tristan Blackmon,6,us USA,CB,27-315,90,1,0,0,1,1,1,0,3,0,0,0,0,4,2,1,66.7
Ranko Veselinović,4,rs SRB,CB,25-090,90,0,0,0,1,0,0,0,0,1,0,0,0,1,2,1,66.7
Javain Brown,23,jm JAM,CB,WB,25-105,63,0,0,0,0,1,0,2,0,0,0,0,0,3,4,1,80.0
Luís Martins,14,pt POR,WB,32-012,27,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,
Yohei Takaoka,1,jp JPN,GK,28-098,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16 Players,,,,,951,4,1,1,12,11,4,21,10,16,0,0,0,42,10,13,43.5
