,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Cristian Arango,9,co COL,FW,AM,29-224,86,0,0,0,1,2,1,1,0,1,0,0,0,2,3,2,60.0
Maikel Chang,16,cu CUB,AM,33-184,4,0,0,0,0,0,0,5,0,0,0,0,0,1,1,2,33.3
Diogo Gonçalves,10,pt POR,LW,27-256,64,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,
Dominik Marczuk,11,pl POL,RW,20-353,26,0,0,0,0,4,0,1,0,1,0,0,0,5,0,0,
Diego Luna,8,us USA,RW,LW,21-042,90,0,0,0,1,1,0,4,1,0,0,0,0,2,0,0,
Matt Crooks,25,eng ENG,AM,30-273,65,0,0,0,1,1,0,0,0,0,0,0,0,3,0,1,0.0
Anderson Julio,29,ec ECU,FW,28-141,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Emeka Eneli,14,us USA,RB,DM,25-001,90,0,0,0,0,0,0,0,2,2,0,0,0,8,0,1,0.0
Braian Ojeda,6,py PAR,DM,24-114,90,0,0,0,0,2,0,1,0,1,0,0,0,5,2,2,50.0
Alexandros Katranis,98,gr GRE,LB,26-168,86,1,0,0,3,0,0,8,0,1,0,0,0,1,0,1,0.0
Andrew Brody,2,us USA,LB,29-169,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Philip Quinton,26,us USA,CB,24-338,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
Nelson Palacio,13,co COL,DM,23-125,69,0,0,0,1,2,0,0,1,2,0,1,0,4,1,1,50.0
Justen Glad,15,us USA,CB,27-234,90,0,0,0,0,0,0,0,1,1,0,0,0,3,1,1,50.0
Javain Brown,91,jm JAM,CB,RB,25-224,90,1,0,0,2,0,0,1,2,1,0,0,0,3,2,1,66.7
Zac MacMath,18,us USA,GK,33-073,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
16 Players,,,,,990,2,0,0,9,13,1,30,8,10,0,1,0,44,10,13,43.5
