,SCA 1,SCA 2
,SCA 1,SCA 2
Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes,Player,Event,Player,Event
26,Fafà Picault,Vancouver W'caps,0.06,0.00,Off Target,10,Head,,Tristan Blackmon,Pass (Dead),,
29,Deiber Caicedo,Vancouver W'caps,0.07,0.00,Blocked,14,Right Foot,,Brian White,Pass (Live),,
30,Sam Adekugbe,Vancouver W'caps,0.01,0.00,Blocked,15,Left Foot,,Sebastian Berhalter,Pass (Dead),Deiber Caicedo,Shot
37,Sam Adekugbe,Vancouver W'caps,0.02,0.00,Blocked,32,Left Foot,,Sebastian Berhalter,Pass (Live),Fafà Picault,Pass (Live)
44,Alessandro Schöpf,Vancouver W'caps,0.02,0.00,Off Target,21,Right Foot,Volley,Brian White,Pass (Live),Bjørn Inge Utvik,Pass (Live)
,,,,,,,,,,,,
52,Fafà Picault (pen),Vancouver W'caps,0.79,0.00,Off Target,13,Right Foot,,Alessandro Schöpf,Fouled,Deiber Caicedo,Pass (Live)
58,Ryan Gauld,Vancouver W'caps,0.12,0.65,Goal,20,Right Foot,,Ryan Gauld,Pass (Live),Brian White,Pass (Live)
62,Brian White,Vancouver W'caps,0.05,0.00,Off Target,6,Head,,Ryan Gauld,Pass (Live),Sebastian Berhalter,Pass (Live)
69,Sebastian Berhalter,Vancouver W'caps,0.02,0.00,Off Target,32,Right Foot,Volley,,,,
90+9,Brian White,Vancouver W'caps,0.14,0.00,Off Target,8,Head,,Ryan Gauld,Pass (Dead),Stuart Armstrong,Pass (Live)
