,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Brian White,24,us USA,FW,28-259,90,0,0,0,1,0,2,0,0,0,0,0,0,2,5,3,62.5
Fafà Picault,11,ht HAI,LW,RW,33-239,69,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,50.0
Ali Ahmed,22,ca CAN,RW,24-009,21,1,0,0,1,0,0,0,1,0,0,0,0,3,0,0,
Deiber Caicedo,23,co COL,RW,24-208,56,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,
Ryan Gauld,25,sct SCO,LW,RW,28-308,34,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,
Sam Adekugbe,3,ca CAN,LM,29-277,80,1,0,0,1,1,0,2,0,0,0,0,0,4,1,2,33.3
Ryan Raposo,7,ca CAN,RM,LM,25-228,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0.0
Sebastian Berhalter,16,us USA,CM,23-155,90,1,0,0,2,1,1,6,1,3,0,0,0,4,0,1,0.0
Ralph Priso-Mbongue,13,ca CAN,CM,22-078,56,0,0,0,2,1,0,0,1,0,0,0,0,2,0,0,
Andrés Cubas,20,py PAR,CM,28-150,34,0,0,0,4,0,0,0,1,1,0,0,0,3,1,0,100.0
Alessandro Schöpf,8,at AUT,RM,30-255,80,0,0,0,0,1,0,0,1,1,1,0,0,6,0,0,
Stuart Armstrong,26,sct SCO,LM,RM,32-203,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Tristan Blackmon,6,us USA,CB,28-068,90,1,0,0,2,2,0,1,3,0,0,0,0,7,3,1,75.0
Ranko Veselinović,4,rs SRB,CB,25-209,90,0,0,0,0,0,0,0,0,1,0,0,0,6,1,1,50.0
Bjørn Inge Utvik,15,no NOR,CB,28-234,90,0,0,0,0,1,0,0,1,2,0,0,0,3,1,0,100.0
Isaac Boehmer,32,us USA,GK,22-334,90,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,
16 Players,,,,,990,5,0,0,14,9,4,17,10,9,1,0,1,44,13,10,56.5
