,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Jeremy Ebobisse,11,us USA,FW,27-024,69,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,100.0
Preston Judd,19,us USA,FW,24-286,21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Amahl Pellegrino,9,no NOR,LW,FW,33-265,84,0,0,0,0,0,0,5,1,0,0,0,0,1,0,2,0.0
Ousseni Bouda,17,bf BFA,FW,23-316,6,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,
Cristian Espinoza,10,ar ARG,RW,RM,28-341,90,0,0,0,2,0,0,12,0,0,0,0,0,2,0,0,
Jack Skahan,16,us USA,AM,26-031,45,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0.0
Alfredo Morales,6,us USA,DM,CM,33-302,45,1,0,0,1,2,0,1,0,0,0,0,0,2,2,2,50.0
Jackson Yueill,14,us USA,DM,AM,CM,26-356,90,0,0,0,0,2,0,1,1,2,0,0,0,5,0,0,
Carlos Gruezo,7,ec ECU,DM,28-325,76,0,0,0,1,1,0,1,0,0,0,0,0,3,0,1,0.0
Benjamin Kikanovic,28,us USA,LM,24-063,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Vitor Costa,94,br BRA,LB,29-252,90,0,0,0,1,2,0,1,0,0,0,0,0,6,1,0,100.0
Rodrigues,26,br BRA,CB,26-151,90,0,0,0,2,1,0,0,1,1,0,0,0,7,4,4,50.0
Bruno Wilson,4,pt POR,CB,27-073,90,1,0,0,3,2,0,0,0,0,0,0,0,2,4,2,66.7
Paul Marie,3,fr FRA,RB,28-351,84,0,0,0,2,0,0,3,0,1,0,0,0,1,1,3,25.0
Tommy Thompson,22,us USA,RB,28-207,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Daniel,42,br BRA,GK,29-308,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
16 Players,,,,,990,4,0,0,14,13,0,26,3,5,0,0,0,40,13,15,46.4
