,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Damir Kreilach,19,hr CRO,FW,34-328,62,0,0,0,3,1,0,0,0,1,0,0,0,3,2,4,33.3
Fafà Picault,11,ht HAI,FW,33-015,28,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,50.0
Ryan Gauld,25,sct SCO,AM,28-084,90,0,0,0,1,3,0,6,1,1,0,0,0,3,2,1,66.7
Brian White,24,us USA,AM,28-035,81,0,0,0,1,1,2,0,0,1,0,0,0,2,4,2,66.7
Sebastian Berhalter,16,us USA,AM,22-297,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Andrés Cubas,20,py PAR,CM,27-292,90,0,0,0,1,3,0,0,4,5,0,0,0,9,1,0,100.0
Pedro Vite,45,ec ECU,CM,22-000,70,0,0,0,0,0,0,0,3,2,0,0,0,6,0,1,0.0
Alessandro Schöpf,8,at AUT,CM,30-031,20,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
Luís Martins,14,pt POR,WB,31-273,61,0,0,0,0,0,0,3,1,0,0,0,0,2,2,0,100.0
Ali Ahmed,22,ca CAN,WB,23-151,29,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,
Javain Brown,23,jm JAM,WB,25-000,69,0,0,0,0,1,0,2,0,1,0,0,0,2,1,1,50.0
Ryan Raposo,7,ca CAN,WB,25-004,21,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Tristan Blackmon,6,us USA,CB,27-210,90,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,50.0
Ranko Veselinović,4,rs SRB,CB,24-351,90,0,0,0,3,0,0,0,1,3,0,0,0,3,0,1,0.0
Mathías Laborda,2,uy URU,CB,24-176,90,0,0,0,2,1,0,0,1,0,0,0,0,3,1,1,50.0
Yohei Takaoka,1,jp JPN,GK,27-359,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
16 Players,,,,,990,1,0,0,15,13,2,12,13,14,0,0,0,41,15,13,53.6
