,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Raúl Ruidíaz,9,pe PER,FW,33-298,87,0,0,0,2,2,0,2,0,1,0,0,0,3,0,1,0.0
Daniel Musovski,17,us USA,FW,28-170,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jordan Morris,13,us USA,LW,29-205,90,0,0,0,3,1,0,1,1,2,0,0,0,1,3,1,75.0
Obed Vargas,18,mx MEX,RW,18-287,90,1,0,0,1,0,0,4,0,1,0,0,0,7,0,0,
Albert Rusnák,11,sk SVK,AM,29-316,87,0,0,0,1,1,0,3,0,0,0,0,0,8,0,1,0.0
Reed Baker-Whiting,21,us USA,AM,19-048,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
João Paulo Mior,6,br BRA,DM,33-071,75,1,0,0,1,1,0,6,3,2,0,0,0,5,0,0,
Pedro De la Vega,10,ar ARG,DM,23-101,15,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,
Cristian Roldan,7,us USA,DM,28-350,90,0,0,0,0,2,0,4,2,0,0,0,0,7,1,1,50.0
Nouhou Tolo,5,cm CMR,LB,26-330,89,2,1,1,3,0,0,2,2,0,0,1,0,3,2,1,66.7
Jackson Ragen,25,us USA,CB,25-237,90,0,0,0,1,0,0,0,2,0,0,0,0,2,1,0,100.0
Yeimar Gómez Andrade,28,co COL,CB,31-323,90,0,0,0,0,0,0,0,0,3,0,0,0,3,3,1,75.0
Alex Roldan,16,sv SLV,RB,27-295,90,0,0,0,1,1,0,1,0,3,0,0,0,2,0,1,0.0
Stefan Frei,24,ch SUI,GK,38-028,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,100.0
14 Players,,,,,989,4,1,1,14,10,0,24,10,12,0,1,0,42,12,7,63.2
