,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Brian White,24,us USA,FW,28-105,90,0,0,0,1,0,0,1,2,0,0,0,0,1,2,1,66.7
Ryan Gauld,25,sct SCO,LW,28-154,90,0,0,0,3,1,0,6,0,1,0,0,0,4,0,1,0.0
Fafà Picault,11,ht HAI,RW,33-085,90,0,0,0,0,1,1,2,0,1,0,0,0,2,1,1,50.0
Ryan Raposo,7,ca CAN,LM,25-074,64,0,0,0,0,1,0,4,2,0,0,0,0,2,0,1,0.0
Ali Ahmed,22,ca CAN,LM,23-221,26,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0
Pedro Vite,45,ec ECU,CM,22-070,90,0,0,0,0,3,0,1,1,1,0,0,0,6,1,0,100.0
Andrés Cubas,20,py PAR,CM,27-362,54,0,0,0,1,0,0,0,1,3,0,0,0,6,0,0,
Sebastian Berhalter,16,us USA,CM,23-001,36,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,
Alessandro Schöpf,8,at AUT,RM,30-101,75,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,100.0
Levonte Johnson,28,ca CAN,RM,25-064,15,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.0
Tristan Blackmon,6,us USA,CB,27-280,90,0,0,0,2,1,0,0,1,1,0,0,0,6,0,1,0.0
Mathías Laborda,2,uy URU,CB,24-246,90,1,0,0,2,0,0,0,1,1,0,0,0,4,2,2,50.0
Javain Brown,23,jm JAM,CB,25-070,90,0,0,0,0,5,0,2,0,1,0,0,0,3,0,3,0.0
Yohei Takaoka,1,jp JPN,GK,28-063,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
14 Players,,,,,990,1,0,0,12,13,1,16,8,12,0,0,0,45,7,12,36.8
