,SCA 1,SCA 2
,SCA 1,SCA 2
Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes,Player,Event,Player,Event
13,Ryan Raposo,Vancouver W'caps,0.03,,Off Target,7,Right Foot,,Ryan Gauld,Pass (Live),Alessandro Schöpf,Pass (Live)
17,Brian White,Vancouver W'caps,0.04,,Off Target,13,Head,,Sebastian Berhalter,Pass (Live),Ryan Raposo,Pass (Live)
34,Ryan Gauld,Vancouver W'caps,0.07,,Off Target,10,Head,,Luís Martins,Pass (Live),Alessandro Schöpf,Pass (Live)
38,Sebastian Berhalter,Vancouver W'caps,0.02,,Blocked,23,Left Foot,,Alessandro Schöpf,Pass (Live),,
39,Ryan Gauld,Vancouver W'caps,0.18,,Blocked,15,Left Foot,,Sebastian Berhalter,Shot,,
39,Ryan Gauld,Vancouver W'caps,0.67,0.50,Goal,8,Right Foot,,Ryan Gauld,Shot,,
45+3,Alessandro Schöpf,Vancouver W'caps,0.05,,Blocked,26,Right Foot,,Luís Martins,Pass (Live),Ryan Raposo,Pass (Live)
45+3,Sebastian Berhalter,Vancouver W'caps,0.02,,Off Target,23,Right Foot,,Alessandro Schöpf,Shot,,
,,,,,,,,,,,,
52,Javain Brown,Vancouver W'caps,0.04,,Off Target,8,Head,,Ryan Raposo,Pass (Dead),,
54,Javain Brown,Vancouver W'caps,0.12,,Off Target,4,Right Foot,Volley,Ryan Gauld,Pass (Dead),Luís Martins,Fouled
69,Javain Brown,Vancouver W'caps,0.02,,Off Target,11,Head,,Ryan Raposo,Pass (Dead),Luís Martins,Pass (Live)
77,Fafà Picault,Vancouver W'caps,0.10,,Off Target,11,Head,,Luís Martins,Pass (Live),Sebastian Berhalter,Pass (Live)
82,Ryan Gauld,Vancouver W'caps,0.57,0.60,Goal,14,Left Foot,,,,,
