,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
William Agada,23,ng NGA,FW,24-255,56,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,100.0
Alan Pulido,9,mx MEX,FW,33-082,34,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0.0
Stephen Afrifa,30,ca CAN,LW,23-100,45,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,100.0
Dániel Sallói,10,hu HUN,LW,27-315,45,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
Alenis Vargas,20,hn HON,RW,20-177,56,0,0,0,1,2,0,3,0,1,0,0,0,3,0,0,
Johnny Russell,7,sct SCO,RW,34-051,34,0,0,0,1,1,0,3,0,0,0,0,0,0,1,2,33.3
Felipe Hernandez,21,us USA,LM,25-356,90,0,0,0,2,2,0,6,0,0,0,0,0,6,0,0,
Nemanja Radoja,6,rs SRB,CM,31-113,90,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,100.0
Jake Davis,17,us USA,RM,22-147,78,0,0,0,1,0,0,2,1,1,0,0,0,6,0,1,0.0
Marinos Tzionis,77,cy CYP,RM,22-318,12,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
Zorhan Bassong,22,ca CAN,LB,25-022,56,0,0,0,0,1,0,1,0,0,0,0,0,4,0,3,0.0
Tim Leibold,14,de GER,LB,30-181,34,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,66.7
Robert Castellanos,19,us USA,CB,26-018,90,1,0,0,2,1,1,0,2,0,0,0,0,2,8,2,80.0
Daniel Rosero,5,co COL,CB,30-236,90,0,0,0,0,1,0,0,1,2,0,0,0,6,2,1,66.7
Khiry Shelton,11,us USA,RB,30-338,90,1,0,0,1,1,0,0,0,2,0,0,0,4,0,0,
John Pulskamp,1,us USA,GK,23-040,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
16 Players,,,,,990,2,0,0,9,12,2,18,5,7,0,0,0,37,17,11,60.7
