,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Ryan Gauld,25,sct SCO,FW,28-165,89,0,0,0,1,1,0,6,0,1,0,0,0,2,1,3,25.0
Levonte Johnson,28,ca CAN,FW,25-075,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0.0
Brian White,24,us USA,FW,28-116,69,0,0,0,0,0,0,0,2,0,0,0,0,1,3,1,75.0
Fafà Picault,11,ht HAI,FW,33-096,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
Alessandro Schöpf,8,at AUT,CM,30-112,89,0,0,0,1,1,0,1,0,1,0,0,0,10,0,0,
Giuseppe Bovalina,27,au AUS,CM,19-200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.0
Andrés Cubas,20,py PAR,CM,28-007,90,0,0,0,1,0,0,0,3,3,0,0,0,8,0,0,
Sebastian Berhalter,16,us USA,CM,23-012,90,0,0,0,2,1,0,3,2,1,0,0,0,4,0,2,0.0
Luís Martins,14,pt POR,WB,31-354,76,0,0,0,1,1,1,8,1,0,0,0,0,0,1,0,100.0
Mathías Laborda,2,uy URU,CB,24-257,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ryan Raposo,7,ca CAN,WB,25-085,69,0,0,0,2,0,0,8,2,0,0,0,0,4,1,0,100.0
Ali Ahmed,22,ca CAN,WB,23-232,21,0,0,0,2,2,1,0,0,1,0,0,0,4,0,0,
Bjørn Inge Utvik,15,no NOR,CB,28-091,90,1,0,0,1,0,0,0,0,2,0,0,0,4,2,3,40.0
Ranko Veselinović,4,rs SRB,CB,25-066,90,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0.0
Javain Brown,23,jm JAM,CB,WB,25-081,90,0,0,0,1,1,0,0,1,1,0,0,0,5,2,2,50.0
Yohei Takaoka,1,jp JPN,GK,28-074,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16 Players,,,,,990,1,0,0,12,9,3,26,11,10,0,0,0,45,11,17,39.3
