,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Nökkvi Þórisson,29,is ISL,FW,24-335,89,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0.0
Michael Wentzel,40,de GER,FW,CB,22-094,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Indiana Vassilev,19,us USA,LW,WB,23-148,90,0,0,0,0,2,0,7,0,0,0,0,0,4,0,1,0.0
John Klein,41,us USA,RW,WB,24-239,89,0,0,0,1,0,0,4,1,1,0,0,0,2,0,4,0.0
Caden Glover,46,us USA,WB,FW,17-127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eduard Löwen,10,de GER,AM,27-167,76,0,0,0,1,0,0,4,0,0,0,0,0,2,1,0,100.0
Hosei Kijima,85,jp JPN,CM,22-012,14,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
Chris Durkin,8,us USA,DM,CM,24-156,90,1,0,0,3,2,0,1,3,2,0,0,0,4,0,1,0.0
Njabulo Blom,6,za RSA,DM,24-215,45,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,
Akil Watts,20,us USA,DM,CM,24-160,45,0,0,0,1,2,1,1,0,0,0,0,0,0,2,2,50.0
Jayden Reid,99,us USA,LB,CB,22-318,90,1,0,0,1,2,0,5,2,1,0,0,0,3,0,1,0.0
Tim Parker,26,us USA,CB,31-141,90,0,0,0,1,0,0,0,1,1,0,0,0,5,1,0,100.0
Joshua Yaro,15,gh GHA,CB,29-238,69,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
Samuel Adeniran,16,us USA,FW,CB,25-287,21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,100.0
Tomas Totland,14,no NOR,RB,CB,25-289,90,0,0,0,0,0,0,4,1,0,0,0,0,6,0,0,
Roman Bürki,1,ch SUI,GK,33-242,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
16 Players,,,,,990,3,0,0,10,9,2,26,9,6,0,0,0,35,6,11,35.3
