,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Brian White,24,us USA,FW,28-161,89,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,50.0
Damir Kreilach,19,hr CRO,FW,35-088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Fafà Picault,11,ht HAI,LW,33-141,89,0,0,0,0,3,1,1,1,1,0,0,0,3,0,0,
Levonte Johnson,28,ca CAN,LW,25-120,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ryan Gauld,25,sct SCO,RW,28-210,90,0,0,0,2,0,0,7,0,1,0,0,0,9,1,0,100.0
Luís Martins,14,pt POR,LM,32-033,66,0,0,0,0,1,0,1,0,0,0,0,0,4,1,0,100.0
Alessandro Schöpf,8,at AUT,LM,30-157,24,0,0,0,2,0,0,0,0,0,0,0,0,2,1,1,50.0
Andrés Cubas,20,py PAR,CM,28-052,90,1,0,0,2,1,0,0,0,2,0,0,0,4,0,0,
Sebastian Berhalter,16,us USA,CM,23-057,89,1,0,0,4,1,0,2,1,1,0,0,0,0,0,1,0.0
Ralph Priso-Mbongue,13,ca CAN,CM,21-346,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ryan Raposo,7,ca CAN,RM,25-130,82,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,
Sam Adekugbe,3,ca CAN,RM,29-179,8,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
Bjørn Inge Utvik,15,no NOR,CB,28-136,90,0,0,0,0,0,0,0,1,1,0,0,0,8,3,1,75.0
Ranko Veselinović,4,rs SRB,CB,25-111,90,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,50.0
Mathías Laborda,2,uy URU,CB,24-302,90,0,0,0,0,0,0,1,1,3,0,0,0,3,3,0,100.0
Yohei Takaoka,1,jp JPN,GK,28-119,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
16 Players,,,,,990,3,0,0,10,9,2,13,5,9,0,0,0,40,11,6,64.7
