,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Diego Rubio,14,cl CHI,FW,30-355,74,0,0,0,0,1,0,0,1,1,0,0,0,1,4,2,66.7
Gyasi Zardes,9,us USA,FW,32-245,16,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,100.0
Emiliano Rigoni,7,ar ARG,LW,RM,31-090,82,0,0,0,0,0,1,4,1,0,0,0,0,4,0,1,0.0
Ethan Finlay,13,us USA,RM,33-272,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
Jáder Obrian,11,co COL,RW,28-352,62,0,0,0,3,1,0,1,0,0,0,0,0,2,0,0,
Owen Wolff,33,us USA,LB,CM,19-126,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Sebastián Driussi,10,ar ARG,AM,LM,28-085,90,1,0,0,1,0,0,1,0,0,0,0,0,2,1,0,100.0
Jhojan Valencia,5,co COL,DM,CM,27-282,82,0,0,0,2,1,0,0,1,1,0,0,0,7,0,0,
Žan Kolmanič,23,si SVN,LB,CM,24-062,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alexander Ring,8,fi FIN,DM,CM,33-025,90,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0.0
Guilherme Biro,29,br BRA,LB,CB,24-003,90,1,0,0,0,0,0,2,0,1,0,0,0,4,0,7,0.0
Brendan Hines-Ike,4,us USA,CB,29-156,90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0
Julio Cascante,18,cr CRC,CB,30-214,90,0,0,0,1,1,0,0,1,2,0,0,0,2,0,1,0.0
Jon Gallagher,17,ie IRL,RB,28-071,90,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,
Brad Stuver,1,us USA,GK,33-018,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15 Players,,,,,990,2,0,0,10,4,1,9,4,9,0,0,0,27,7,14,33.3
