,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Brian White,24,us USA,FW,28-091,90,1,0,0,2,0,0,2,0,0,0,0,0,1,3,2,60.0
Fafà Picault,11,ht HAI,LW,33-071,90,1,0,0,1,3,0,6,0,0,0,0,0,8,2,1,66.7
Ryan Gauld,25,sct SCO,RW,CM,28-140,90,0,0,0,0,1,0,8,0,1,0,0,0,4,0,0,
Ali Ahmed,22,ca CAN,LM,23-207,90,0,0,0,1,2,0,3,3,3,0,0,0,5,0,0,
Alessandro Schöpf,8,at AUT,CM,30-087,64,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,
Pedro Vite,45,ec ECU,CM,22-056,26,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,
Andrés Cubas,20,py PAR,CM,CB,27-348,90,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,
Sam Adekugbe,3,ca CAN,RM,29-109,42,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,100.0
Ryan Raposo,7,ca CAN,RM,25-060,48,0,0,0,0,0,1,6,0,2,0,0,0,1,2,1,66.7
Tristan Blackmon,6,us USA,CB,27-266,90,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,100.0
Ranko Veselinović,4,rs SRB,CB,25-041,80,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,50.0
Levonte Johnson,28,ca CAN,RW,25-050,10,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0.0
Bjørn Inge Utvik,15,no NOR,CB,28-066,90,0,0,0,0,0,0,0,0,1,0,0,0,5,2,0,100.0
Yohei Takaoka,1,jp JPN,GK,28-049,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14 Players,,,,,990,2,0,0,5,7,1,28,5,13,0,0,0,42,14,7,66.7
