,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Enzo Copetti,9,ar ARG,FW,28-046,82,0,0,0,1,1,0,0,1,0,0,0,0,3,2,1,66.7
Scott Arfield,37,ca CAN,FW,35-122,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Iuri Tavares,38,cv CPV,LW,LM,22-360,82,1,0,0,1,2,0,3,0,1,0,0,0,2,1,1,50.0
Nimfasha Berchimas,27,us USA,LM,16-009,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kerwin Vargas,18,co COL,RW,RM,22-060,90,0,0,0,1,0,0,15,1,1,0,0,0,4,0,2,0.0
Brecht Dejaegere,10,be BEL,AM,32-278,69,0,0,0,1,2,0,0,2,0,0,0,0,1,1,1,50.0
Patrick Agyemang,33,us USA,FW,23-116,21,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0
Júnior Urso,30,br BRA,DM,CM,34-358,90,0,0,0,3,0,0,0,2,2,0,0,0,3,2,1,66.7
Ashley Westwood,8,eng ENG,DM,CM,33-336,90,1,0,0,2,1,0,0,0,0,0,0,0,7,0,0,
Jere Uronen,21,fi FIN,LB,29-233,90,0,0,0,1,0,0,1,4,1,0,0,0,5,2,1,66.7
Andrew Privett,34,us USA,CB,23-213,90,0,0,0,0,1,0,1,0,0,0,0,0,4,0,3,0.0
Adilson Malanda,29,fr FRA,CB,22-125,90,0,0,0,0,0,0,0,0,1,0,0,0,2,5,3,62.5
Nathan Byrne,14,eng ENG,RB,31-271,90,0,0,0,0,0,0,4,1,0,0,0,0,3,3,0,100.0
Kristijan Kahlina,1,hr CRO,GK,31-222,90,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0
14 Players,,,,,990,2,0,0,11,7,0,24,11,6,0,0,0,40,18,13,58.1
