,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Brian White,24,us USA,FW,28-028,89,0,0,0,1,1,1,0,0,0,0,0,0,1,5,4,55.6
Levonte Johnson,28,ca CAN,FW,24-353,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Ryan Gauld,25,sct SCO,LW,28-077,90,0,0,0,0,0,0,8,0,1,0,0,0,3,2,3,40.0
Damir Kreilach,19,hr CRO,RW,34-321,66,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0.0
Fafà Picault,11,ht HAI,RW,33-008,24,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,50.0
Pedro Vite,45,ec ECU,LM,21-359,77,0,0,0,0,1,0,0,2,0,0,0,0,9,1,0,100.0
Ali Ahmed,22,ca CAN,LM,23-144,13,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,
Andrés Cubas,20,py PAR,CM,27-285,90,1,0,0,2,1,0,0,3,0,0,0,0,6,0,1,0.0
Alessandro Schöpf,8,at AUT,RM,30-024,67,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,
Sebastian Berhalter,16,us USA,RM,22-290,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Ryan Raposo,7,ca CAN,LB,24-363,77,0,0,0,1,3,0,3,3,1,0,0,0,3,0,1,0.0
Luís Martins,14,pt POR,LB,31-266,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0
Tristan Blackmon,6,us USA,CB,27-203,90,1,0,0,0,1,0,1,0,0,0,0,0,5,1,3,25.0
Ranko Veselinović,4,rs SRB,CB,24-344,90,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,100.0
Javain Brown,23,jm JAM,RB,24-359,90,0,0,0,1,1,0,6,1,2,0,0,0,2,1,3,25.0
Yohei Takaoka,1,jp JPN,GK,27-352,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
16 Players,,,,,990,2,0,0,7,10,1,23,11,4,0,0,0,43,13,18,41.9
