,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Darren Yapi,77,us USA,FW,19-195,68,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,33.3
Rafael Navarro,9,br BRA,FW,24-048,22,0,0,0,2,0,0,0,0,0,0,0,0,1,2,2,50.0
Omir Fernandez,11,us USA,LW,25-114,90,0,0,0,1,2,1,0,0,0,0,0,0,1,1,2,33.3
Kevin Cabral,91,fr FRA,RW,24-327,59,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,100.0
Calvin Harris,14,eng ENG,RW,24-073,31,0,0,0,2,0,0,1,0,0,0,0,0,2,1,1,50.0
Djordje Mihailovic,10,us USA,AM,25-204,90,0,0,0,2,3,0,8,1,1,0,0,0,3,0,0,
Connor Ronan,20,ie IRL,DM,26-087,68,0,0,0,0,0,0,1,3,1,0,0,0,7,0,0,
Oliver Larraz,18,us USA,DM,22-259,22,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,
Cole Bassett,23,us USA,DM,22-309,90,0,0,0,0,1,0,1,3,0,0,0,0,3,1,0,100.0
Jackson Travis,99,us USA,LB,20-099,59,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.0
Sam Vines,3,us USA,LB,25-001,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Andreas Maxsø,5,dk DEN,CB,30-075,90,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2,33.3
Lalas Abubakar,6,gh GHA,CB,29-159,71,0,0,0,0,0,0,0,2,0,0,0,0,3,3,2,60.0
Moïse Bombito,64,ca CAN,CB,24-063,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,66.7
Keegan Rosenberry,2,us USA,RB,30-173,90,0,0,0,0,0,0,0,1,1,0,0,0,5,1,0,100.0
Zack Steffen,95,us USA,GK,29-060,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
16 Players,,,,,990,2,0,0,9,6,1,13,12,5,0,0,0,33,14,13,51.9
