,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Ryan Gauld,25,sct SCO,CM,FW,28-168,90,1,0,0,1,0,0,7,1,2,0,0,0,3,0,1,0.0
Brian White,24,us USA,FW,28-119,82,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,20.0
Damir Kreilach,19,hr CRO,FW,35-046,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pedro Vite,45,ec ECU,CM,22-084,72,0,0,0,0,2,0,0,1,1,0,0,0,7,0,0,
Alessandro Schöpf,8,at AUT,CM,30-115,18,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,
Andrés Cubas,20,py PAR,CM,28-010,90,0,0,0,0,0,0,0,6,1,0,0,0,9,0,0,
Sebastian Berhalter,16,us USA,WB,CM,23-015,90,0,0,0,1,0,0,3,0,1,0,0,0,2,2,2,50.0
Luís Martins,14,pt POR,WB,CB,31-357,64,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,
Bjørn Inge Utvik,15,no NOR,CB,28-094,26,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,40.0
Ali Ahmed,22,ca CAN,WB,23-235,82,0,0,0,0,1,0,5,0,2,0,0,0,5,0,0,
Giuseppe Bovalina,27,au AUS,WB,19-203,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0
Tristan Blackmon,6,us USA,CB,27-294,45,1,0,0,1,0,0,0,1,1,0,0,0,4,1,1,50.0
Fafà Picault,11,ht HAI,FW,33-099,45,0,0,0,1,0,0,2,0,0,0,0,0,0,2,1,66.7
Mathías Laborda,2,uy URU,CB,24-260,90,0,0,0,1,1,0,0,2,2,0,0,0,4,3,0,100.0
Javain Brown,23,jm JAM,CB,25-084,90,0,0,0,1,0,0,4,2,0,0,0,0,1,2,1,66.7
Yohei Takaoka,1,jp JPN,GK,28-077,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
16 Players,,,,,990,2,0,0,6,8,1,25,14,11,0,0,0,40,13,14,48.1
