,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Petar Musa,9,hr CRO,FW,26-187,79,0,0,0,1,2,1,1,0,1,0,0,0,2,1,0,100.0
Alan Velasco,20,ar ARG,AM,22-042,11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,
Tsiki Ntsabeleng,16,za RSA,AM,26-211,60,0,0,0,1,0,1,0,1,1,0,0,0,2,1,0,100.0
Bernard Kamungo,77,us USA,AM,WB,22-250,30,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0
Jesús Ferreira,10,us USA,AM,23-258,60,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,
Logan Farrington,23,us USA,AM,FW,22-268,30,0,0,0,0,1,0,0,0,1,0,0,0,2,1,3,25.0
Asier Illarramendi,14,es ESP,CM,34-183,90,0,0,0,2,1,0,0,0,1,0,0,0,6,0,1,0.0
Sebastian Lletget,8,us USA,CM,32-004,90,0,0,0,0,3,0,1,0,1,0,0,0,4,0,1,0.0
Sam Junqua,29,us USA,WB,27-303,90,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,100.0
Paul Arriola,7,us USA,WB,AM,29-215,90,0,0,0,2,2,0,0,0,2,0,0,0,4,1,0,100.0
Marco Farfan,4,us USA,CB,25-300,90,1,0,0,1,0,0,0,0,0,0,0,0,4,2,3,40.0
Sebastien Ibeagha,25,us USA,CB,32-230,90,0,0,0,0,0,0,0,0,1,0,0,0,4,2,2,50.0
Nkosi Tafari,17,us USA,CB,27-179,90,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0.0
Jimmy Maurer,1,us USA,GK,35-329,90,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,50.0
14 Players,,,,,990,1,0,0,7,11,2,5,1,10,0,0,0,38,12,13,48.0
