,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Damir Kreilach,19,hr CRO,FW,35-144,63,0,0,0,0,1,0,1,0,0,0,0,0,3,2,0,100.0
Sam Adekugbe,3,ca CAN,FW,29-235,27,0,0,0,1,1,0,3,1,0,0,0,0,1,0,0,
Levonte Johnson,28,ca CAN,FW,25-176,72,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,25.0
Deiber Caicedo,23,co COL,FW,24-166,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Alessandro Schöpf,8,at AUT,CM,30-213,90,0,0,0,1,1,0,1,0,0,0,0,0,5,0,1,0.0
Ralph Priso-Mbongue,13,ca CAN,CM,22-036,83,0,0,0,1,0,0,0,1,2,0,0,0,5,1,0,100.0
Stuart Armstrong,26,sct SCO,CM,32-161,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sebastian Berhalter,16,us USA,CM,23-113,90,0,0,0,3,0,0,12,0,1,0,0,0,6,0,1,0.0
Ryan Raposo,7,ca CAN,WB,25-186,61,0,0,0,0,1,0,4,0,0,0,0,0,3,0,0,
Nicolas Fleuriau,52,ca CAN,WB,22-109,29,1,0,0,1,0,0,0,0,0,0,0,0,2,2,0,100.0
Mathías Laborda,2,uy URU,WB,24-358,90,0,0,0,1,0,1,5,0,0,0,0,0,4,1,1,50.0
Tristan Blackmon,6,us USA,CB,28-026,90,0,0,0,1,1,0,0,1,0,0,0,0,3,4,2,66.7
Ranko Veselinović,4,rs SRB,CB,25-167,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.3
Belal Halbouni,12,sy SYR,CB,24-253,72,0,0,0,1,0,0,0,0,2,0,0,0,3,0,1,0.0
Édier Ocampo,18,co COL,CB,20-340,18,0,0,0,1,2,0,2,0,0,0,0,0,3,0,1,0.0
Yohei Takaoka,1,jp JPN,GK,28-175,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
16 Players,,,,,990,1,0,0,11,7,2,29,3,5,0,0,0,39,13,12,52.0
