,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Ezequiel Ponce,10,ar ARG,FW,27-113,45,0,0,0,3,1,1,0,0,0,0,0,0,2,0,1,0.0
Sebastián Ferreira,11,py PAR,FW,26-158,45,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0.0
Aliyu Ibrahim,18,ng NGA,LW,22-186,66,0,0,0,0,0,1,2,0,0,0,0,0,5,0,0,
Brad Smith,3,au AUS,LW,30-102,24,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,100.0
Adalberto Carrasquilla,20,pa PAN,RW,25-235,82,0,0,0,2,0,0,2,0,1,0,0,0,3,0,0,
Latif Blessing,15,gh GHA,RW,27-203,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Amine Bassi,8,fr FRA,AM,26-236,66,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,
Sebastian Kowalczyk,27,pl POL,AM,25-333,24,0,0,0,0,1,0,0,0,1,0,0,0,3,1,1,50.0
Héctor Herrera,16,mx MEX,DM,34-092,90,0,0,0,3,1,0,1,1,2,0,0,0,2,0,1,0.0
Artur,6,br BRA,DM,28-131,90,1,0,0,1,0,0,0,0,1,0,0,0,11,0,0,
Franco Escobar,2,ar ARG,LB,29-150,90,1,0,0,1,0,0,2,0,0,0,0,0,2,1,3,25.0
Micael,31,br BRA,CB,23-343,90,0,0,0,1,0,0,0,0,1,0,0,0,4,2,2,50.0
Erik Sviatchenko,28,dk DEN,CB,32-290,90,0,0,0,1,0,0,0,1,0,0,0,0,3,5,1,83.3
Griffin Dorsey,25,us USA,RB,25-137,89,0,0,0,1,1,0,3,2,0,0,0,0,5,1,2,33.3
Daniel Steres,5,us USA,RB,33-252,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Steve Clark,12,us USA,GK,38-097,90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
16 Players,,,,,990,3,0,0,16,7,2,12,5,6,0,0,0,46,13,12,52.0
