,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Fafà Picault,11,ht HAI,FW,33-148,90,0,0,0,0,5,0,3,2,0,0,0,0,2,1,2,33.3
Brian White,24,us USA,FW,28-168,90,0,0,0,0,1,0,0,1,0,0,0,0,3,1,4,20.0
Ryan Gauld,25,sct SCO,AM,28-217,29,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,
Ryan Raposo,7,ca CAN,WB,25-137,61,0,0,0,0,1,0,5,1,2,0,0,0,2,0,0,
Andrés Cubas,20,py PAR,CM,CB,28-059,59,1,0,0,2,0,0,0,3,0,0,0,0,7,1,0,100.0
Sam Adekugbe,3,ca CAN,CB,29-186,31,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,50.0
Pedro Vite,45,ec ECU,CM,22-133,89,0,0,0,0,1,0,3,0,1,0,0,0,10,0,0,
Levonte Johnson,28,ca CAN,CM,25-127,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
Sebastian Berhalter,16,us USA,WB,CM,23-064,89,0,0,0,1,1,0,5,0,0,0,0,0,2,1,1,50.0
Damir Kreilach,19,hr CRO,CM,35-095,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.0
Ali Ahmed,22,ca CAN,WB,CM,23-284,90,0,0,0,0,3,0,3,2,1,0,0,0,6,0,1,0.0
Luís Martins,14,pt POR,CB,32-040,45,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0.0
Alessandro Schöpf,8,at AUT,AM,30-164,45,0,0,0,1,0,0,1,1,0,0,0,0,4,0,0,
Ranko Veselinović,4,rs SRB,CB,25-118,90,1,0,0,1,1,0,0,1,0,0,0,0,2,3,0,100.0
Bjørn Inge Utvik,15,no NOR,CB,28-143,90,0,0,0,1,0,0,0,0,2,0,0,0,3,4,0,100.0
Yohei Takaoka,1,jp JPN,GK,28-126,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
16 Players,,,,,990,2,0,0,7,16,0,26,12,7,0,0,0,46,12,13,48.0
