,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Leonardo Campana,8,ec ECU,FW,23-306,90,1,0,0,3,0,1,0,0,1,0,0,0,2,4,4,50.0
Robert Taylor,16,fi FIN,LW,29-217,87,0,0,0,0,0,0,4,0,0,0,0,0,2,1,0,100.0
Leonardo Afonso,73,br BRA,LW,FW,22-317,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.0
Matías Rojas,7,py PAR,RW,28-204,81,0,0,0,0,0,0,1,0,2,0,0,0,3,0,1,0.0
David Ruiz,41,hn HON,RW,RB,20-107,9,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,100.0
Ben Cremaschi,30,us USA,LM,19-084,64,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0.0
Federico Redondo,55,ar ARG,LM,CM,21-128,26,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,
Yannick Bright,42,it ITA,CM,22-265,90,1,0,0,1,4,0,0,1,1,0,0,0,2,3,0,100.0
Julian Gressel,24,us USA,RM,30-161,86,0,0,0,1,0,0,2,0,1,0,0,0,5,1,1,50.0
Noah Allen,32,us USA,RM,CM,20-027,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jordi Alba,18,es ESP,LB,35-065,90,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,
Serhiy Kryvtsov,27,ua UKR,CB,33-071,90,0,0,0,1,2,0,0,1,0,0,0,0,2,4,0,100.0
Tomás Avilés,6,ar ARG,CB,20-112,90,1,0,0,2,0,0,0,1,0,0,1,0,3,1,0,100.0
Marcelo Weigandt,57,ar ARG,RB,CB,24-135,90,1,0,0,2,1,0,0,2,0,0,0,0,4,1,4,20.0
Drake Callender,1,us USA,GK,26-231,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
15 Players,,,,,990,6,0,0,14,8,1,7,7,6,0,1,0,34,17,12,58.6
