,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Brian White,24,us USA,FW,28-112,90,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,60.0
Fafà Picault,11,ht HAI,LW,33-092,90,1,0,0,2,4,2,2,1,0,1,0,0,4,3,2,60.0
Ryan Gauld,25,sct SCO,RW,28-161,90,0,0,0,2,1,0,16,1,1,0,0,0,4,0,0,
Alessandro Schöpf,8,at AUT,LM,30-108,72,1,0,0,1,0,0,1,1,0,0,0,0,5,0,0,
Sebastian Berhalter,16,us USA,LM,23-008,18,0,0,0,0,1,0,3,0,2,0,0,0,2,0,1,0.0
Andrés Cubas,20,py PAR,CM,28-003,87,0,0,0,0,1,0,0,1,2,0,0,0,6,0,0,
Levonte Johnson,28,ca CAN,CM,25-071,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0
Pedro Vite,45,ec ECU,CM,22-077,57,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,
Giuseppe Bovalina,27,au AUS,CM,19-196,33,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0.0
Ali Ahmed,22,ca CAN,RM,23-228,90,1,0,0,2,3,0,8,0,0,0,0,0,4,0,2,0.0
Tristan Blackmon,6,us USA,CB,27-287,90,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,75.0
Ranko Veselinović,4,rs SRB,CB,25-062,73,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,50.0
Ryan Raposo,7,ca CAN,CB,25-081,17,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,
Mathías Laborda,2,uy URU,CB,24-253,57,0,0,0,0,0,0,0,2,2,0,0,0,3,0,4,0.0
Luís Martins,14,pt POR,CB,31-350,33,0,0,0,1,0,0,1,0,0,0,0,0,1,2,2,50.0
Yohei Takaoka,1,jp JPN,GK,28-070,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16 Players,,,,,990,3,0,0,8,14,2,38,7,8,1,0,0,43,12,17,41.4
