,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Olivier Giroud,9,fr FRA,FW,38-013,77,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,60.0
Kei Kamara,23,sl SLE,FW,40-042,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100.0
Mateusz Bogusz,19,pl POL,LW,23-052,90,0,0,0,1,0,0,5,0,1,0,0,0,4,0,0,
David Martínez,30,ve VEN,RW,18-249,58,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0.0
Ilie Sánchez,6,es ESP,CM,33-327,32,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,
Omar Campos,2,mx MEX,LM,22-085,90,0,0,0,1,0,0,6,0,0,0,0,0,3,0,2,0.0
Lewis O'Brien,8,eng ENG,CM,25-365,90,0,0,0,0,1,0,1,0,2,0,0,0,5,0,2,0.0
Timmy Tillman,11,de GER,CM,RW,RM,25-283,90,0,0,0,0,2,0,3,1,1,0,0,0,4,0,0,
Sergi Palencia,14,es ESP,RM,CB,28-204,90,1,0,0,4,1,0,5,0,1,0,0,1,3,4,1,80.0
Eddie Segura,4,co COL,CB,27-254,90,0,0,0,1,0,0,0,0,0,0,0,0,5,1,2,33.3
Aaron Long,33,us USA,CB,32-001,90,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2,50.0
Marlon,5,br BRA,CB,29-036,77,0,0,0,2,0,0,0,0,3,0,0,0,1,1,2,33.3
Nathan Ordaz,27,sv SLV,RW,20-275,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Hugo Lloris,1,fr FRA,GK,37-292,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
14 Players,,,,,990,1,0,0,10,4,1,23,2,12,0,0,1,29,14,14,50.0
