,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Levonte Johnson,28,ca CAN,FW,25-212,81,0,0,0,1,3,0,1,0,0,0,0,0,3,1,3,25.0
Damir Kreilach,19,hr CRO,FW,35-180,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,66.7
Brian White,24,us USA,FW,28-253,90,0,0,0,1,0,0,0,0,1,0,0,0,3,4,0,100.0
Alessandro Schöpf,8,at AUT,CM,30-249,90,0,0,0,1,1,0,3,1,0,0,0,0,5,0,1,0.0
Ralph Priso-Mbongue,13,ca CAN,CM,22-072,90,0,0,0,0,0,0,0,1,3,0,0,0,7,0,1,0.0
Sebastian Berhalter,16,us USA,CM,23-149,90,0,0,0,1,1,0,10,1,0,0,0,0,2,0,0,
Ryan Raposo,7,ca CAN,WB,25-222,81,0,0,0,0,4,0,2,0,2,0,0,0,7,0,0,
Giuseppe Bovalina,27,au AUS,WB,19-337,9,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0.0
Mathías Laborda,2,uy URU,WB,25-028,63,0,0,0,0,0,0,3,2,0,0,0,0,2,3,0,100.0
Deiber Caicedo,23,co COL,WB,24-202,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Tristan Blackmon,6,us USA,CB,28-062,90,0,0,0,0,0,0,1,1,0,0,0,0,2,1,4,20.0
Ranko Veselinović,4,rs SRB,CB,25-203,90,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,50.0
Bjørn Inge Utvik,15,no NOR,CB,28-228,90,0,0,0,0,0,0,0,0,1,0,0,0,4,1,1,50.0
Yohei Takaoka,1,jp JPN,GK,28-211,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
14 Players,,,,,990,0,0,0,4,9,0,22,6,7,0,0,0,39,14,14,50.0
