,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Dejan Joveljić,9,rs SRB,FW,24-250,78,0,0,0,1,1,0,0,1,0,0,0,0,1,0,2,0.0
Miguel Berry,27,es ESP,FW,26-210,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,25.0
Joseph Paintsil,28,gh GHA,LW,26-072,90,0,0,0,1,1,0,4,1,1,0,0,0,3,0,0,
Gabriel Chaves,11,br BRA,RW,23-062,73,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,
Diego Fagúndez,7,uy URU,RW,29-059,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0.0
Riqui Puig,10,es ESP,LM,24-244,90,1,0,0,1,2,0,1,0,0,0,0,0,4,0,0,
Gastón Brugman,5,uy URU,CM,31-219,73,0,0,0,1,2,0,1,3,0,0,0,0,6,1,2,33.3
Edwin Cerrillo,20,us USA,CM,23-193,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Marky Delgado,8,us USA,RM,28-333,85,0,0,0,2,0,0,2,1,1,0,0,0,3,0,1,0.0
Daniel Aguirre,37,us USA,RM,24-286,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Julián Aude,3,ar ARG,LB,21-020,90,0,0,0,0,0,1,2,3,1,0,0,0,3,0,0,
Martín Cáceres,22,uy URU,CB,37-006,90,0,0,0,1,1,0,0,0,0,0,0,0,2,0,2,0.0
Maya Yoshida,4,jp JPN,CB,35-233,90,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,66.7
Miki Yamane,2,jp JPN,RB,30-113,85,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.0
Mauricio Cuevas,19,us USA,RB,21-063,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
John McCarthy,77,us USA,GK,31-284,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
16 Players,,,,,990,2,0,0,8,7,1,13,10,3,0,0,0,36,6,14,30.0
