,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Brian White,24,us USA,FW,28-070,90,1,0,0,2,0,0,1,0,0,0,0,0,1,5,2,71.4
Fafà Picault,11,ht HAI,LW,33-050,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Pedro Vite,45,ec ECU,LW,22-035,75,0,0,0,1,2,0,1,1,3,0,0,0,2,0,0,
Ryan Raposo,7,ca CAN,RW,25-039,45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
Sam Adekugbe,3,ca CAN,RW,29-088,45,0,0,0,0,1,0,4,0,0,0,0,0,2,2,0,100.0
Ryan Gauld,25,sct SCO,AM,28-119,90,0,0,0,1,1,0,14,0,0,0,0,0,2,0,1,0.0
Ali Ahmed,22,ca CAN,LM,23-186,90,1,0,0,1,2,0,4,3,1,0,0,0,8,1,0,100.0
Alessandro Schöpf,8,at AUT,RM,30-066,83,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,100.0
Sebastian Berhalter,16,us USA,RM,22-332,7,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
Andrés Cubas,20,py PAR,DM,27-327,84,1,0,0,2,1,0,0,0,1,0,0,0,3,0,0,
Damir Kreilach,19,hr CRO,DM,34-363,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Tristan Blackmon,6,us USA,CB,27-245,90,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,100.0
Ranko Veselinović,4,rs SRB,CB,25-020,84,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,100.0
Levonte Johnson,28,ca CAN,CB,25-029,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Mathías Laborda,2,uy URU,CB,24-211,90,0,0,0,0,0,0,1,2,1,0,0,0,2,3,0,100.0
Yohei Takaoka,1,jp JPN,GK,28-028,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
16 Players,,,,,990,4,0,0,8,7,0,27,8,7,0,0,0,31,14,6,70.0
