,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Tani Oluwaseyi,14,ca CAN,FW,24-143,57,1,0,0,2,1,1,0,0,0,0,0,0,0,3,3,50.0
Kelvin Yeboah,9,it ITA,FW,24-152,33,1,0,0,1,0,0,0,0,1,0,0,0,0,3,3,50.0
Joaquín Pereyra,26,ar ARG,LW,25-309,57,0,0,0,0,1,0,3,1,0,0,0,0,4,0,1,0.0
Robin Lod,17,fi FIN,LW,31-171,33,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,
Bongokuhle Hlongwane,21,za RSA,RW,24-107,90,0,0,0,1,2,0,1,1,1,0,0,0,3,1,2,33.3
Anthony Markanich,13,ph PHI,LM,24-284,57,0,0,0,2,3,1,1,1,2,0,0,0,1,0,0,
Joseph Rosales,8,hn HON,LM,CM,23-334,33,0,0,0,2,0,0,2,2,0,0,0,0,5,0,0,
Wil Trapp,20,us USA,CM,31-264,85,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,
Devin Padelford,2,us USA,LM,CM,21-276,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.3
Hassani Dotson,31,us USA,CM,27-060,90,0,0,0,1,1,0,1,3,1,0,0,0,4,2,0,100.0
Jeong Sangbin,11,kr KOR,RM,22-187,69,0,0,0,0,2,0,3,0,0,0,0,0,5,0,2,0.0
Loïc Mesanvi,90,tg TOG,RM,20-365,21,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,100.0
Jefferson Díaz,28,co COL,CB,23-305,90,1,0,0,2,1,0,0,0,1,0,0,0,2,3,1,75.0
Miguel Tapias,4,mx MEX,CB,27-270,90,0,0,0,0,0,0,0,1,1,0,0,0,1,3,1,75.0
Carlos Harvey,67,pa PAN,CB,24-245,90,0,0,0,0,2,0,0,1,1,1,0,0,5,0,3,0.0
Dayne St. Clair,97,ca CAN,GK,27-149,90,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
16 Players,,,,,990,4,0,0,11,14,2,13,12,9,1,0,0,35,17,18,48.6
