,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Brian White,24,us USA,FW,28-245,90,0,0,0,1,0,1,2,0,2,0,0,0,0,3,5,37.5
Ryan Gauld,25,sct SCO,LW,FW,AM,28-294,90,0,0,0,2,1,0,2,0,0,0,0,0,6,0,0,
Stuart Armstrong,26,sct SCO,RW,32-189,57,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,100.0
Alessandro Schöpf,8,at AUT,CM,LM,RW,30-241,33,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,
Sam Adekugbe,3,ca CAN,LM,WB,LB,29-263,90,0,0,0,2,0,1,4,1,0,0,0,0,4,2,0,100.0
Andrés Cubas,20,py PAR,CM,28-136,67,0,0,0,2,0,0,0,0,1,0,0,0,6,1,0,100.0
Sebastian Berhalter,16,us USA,CM,RM,23-141,23,0,0,0,1,1,0,8,0,1,0,0,0,1,1,0,100.0
Pedro Vite,45,ec ECU,CM,DM,22-210,90,0,0,0,1,2,0,1,4,3,0,0,0,10,0,0,
Ali Ahmed,22,ca CAN,RM,23-361,57,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,
Ryan Raposo,7,ca CAN,WB,RB,RM,25-214,33,1,0,0,1,2,0,3,0,1,0,0,0,0,1,0,100.0
Bjørn Inge Utvik,15,no NOR,CB,28-220,90,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,42.9
Ranko Veselinović,4,rs SRB,CB,25-195,90,1,0,0,1,3,0,0,1,1,0,0,0,6,5,5,50.0
Mathías Laborda,2,uy URU,CB,25-020,78,0,0,0,3,1,0,2,1,1,0,1,0,3,0,1,0.0
Damir Kreilach,19,hr CRO,FW,CB,35-172,12,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,33.3
Yohei Takaoka,1,jp JPN,GK,28-203,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
15 Players,,,,,990,2,0,0,15,11,3,23,7,13,0,1,0,46,18,17,51.4
